factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
gran_pwy171_pc4 2 2 0.817 0.014 0.08 0.63
gran_pwy180_pc2 2 2 0.996 0 0 0.987
gran_pwy197_pc3 3 3 0.39 -0.041 0.372 0.368
gran_pwy203_pc2 2 1 0.062 0.124 0.991 0.163
gran_pwy210_pc3 2 2 0.8 -0.013 0.095 0.617
gran_pwy218_pc2 2 2 0.856 -0.024 0.05 0.668
gran_pwy233_pc2 2 2 0.015 -0.048 0.999 0.053
gran_pwy262_pc5 2 2 0.804 -0.017 0.092 0.617
gran_pwy272_pc3 3 3 0.51 0.023 0.24 0.399
gran_pwy274_pc4 2 2 0.841 -0.01 0.061 0.651
gran_pwy290_pc3 3 2 0.673 -0.027 0.107 0.692
gran_pwy302_pc4 3 2 0.728 -0.029 0.074 0.761
gran_pwy313_pc3 2 2 0.808 -0.027 0.088 0.618
gran_pwy329_pc4 4 4 0.597 -0.023 0.104 0.554
gran_pwy332_pc3 2 2 0.878 0.006 0.036 0.683
gran_pwy55_pc5 2 2 0.018 0.075 0.999 0.021
gran_pwy74_pc5 2 2 0.081 0.12 0.984 0.173
hct_pwy104_pc2 2 2 0.926 -0.01 0.014 0.779
hct_pwy107_pc1 3 3 0.601 0.042 0.16 0.54
hct_pwy145_pc2 2 2 0.605 0.05 0.337 0.548
hct_pwy164_pc4 2 2 0.101 0.095 0.975 0.302
hct_pwy175_pc4 2 2 0.918 -0.015 0.016 0.756
hct_pwy196_pc1 2 2 0.998 0 0 0.995
hct_pwy277_pc3 2 2 0.796 0.025 0.099 0.623
hct_pwy55_pc3 2 2 0.937 0.01 0.01 0.799
hct_pwy64_pc1 2 2 0.007 0.099 1 0.012
hct_pwy95_pc1 2 2 0.032 0.068 0.997 0.084
hgb_pwy103_pc1 2 2 0.327 -0.178 0.759 0.456
hgb_pwy103_pc2 2 2 0.053 -0.1 0.993 0.173
hgb_pwy112_pc2 2 2 0.291 0.181 0.805 0.457
hgb_pwy131_pc1 2 2 0.004 -0.067 1 0.006
hgb_pwy135_pc4 2 2 0.025 0.061 0.998 0.077
hgb_pwy137_pc5 2 2 0.76 -0.032 0.135 0.564
hgb_pwy144_pc1 2 2 0.334 -0.08 0.749 0.224
hgb_pwy145_pc2 2 2 0.522 0.07 0.466 0.519
hgb_pwy146_pc5 2 2 0.04 0.072 0.996 0.135
hgb_pwy161_pc1 2 2 0.038 0.095 0.996 0.12
hgb_pwy163_pc5 2 2 0.91 -0.008 0.02 0.748
hgb_pwy164_pc4 2 2 0.047 0.08 0.995 0.134
hgb_pwy168_pc4 2 2 0.124 -0.124 0.962 0.248
hgb_pwy170_pc2 2 2 0.34 0.041 0.741 0.261
hgb_pwy187_pc4 2 2 0.598 -0.033 0.348 0.602
hgb_pwy196_pc1 2 2 0.941 -0.005 0.008 0.816
hgb_pwy197_pc3 2 2 0.233 0.141 0.872 0.435
hgb_pwy204_pc4 3 3 0.528 0.073 0.223 0.375
hgb_pwy217_pc4 3 3 0.647 0.02 0.125 0.627
hgb_pwy218_pc5 3 3 0.8 -0.016 0.04 0.866
hgb_pwy226_pc5 2 2 0.955 0.006 0.005 0.855
hgb_pwy22_pc3 2 2 0.931 0.01 0.012 0.804
hgb_pwy236_pc4 4 4 0.345 0.046 0.294 0.319
hgb_pwy242_pc5 2 2 0.893 -0.012 0.028 0.75
hgb_pwy246_pc5 2 2 0.001 -0.071 1 0
hgb_pwy248_pc1 2 1 0.082 0.143 0.983 0.217
hgb_pwy254_pc5 2 2 0.101 -0.099 0.975 0.138
hgb_pwy266_pc4 2 2 0.337 -0.052 0.746 0.248
hgb_pwy271_pc1 2 2 0.918 0.01 0.016 0.781
hgb_pwy282_pc3 2 2 0.005 0.051 1 0.016
hgb_pwy283_pc5 2 2 0.01 -0.051 1 0.04
hgb_pwy284_pc4 3 3 0.564 0.033 0.19 0.498
hgb_pwy286_pc5 2 2 0.072 -0.043 0.987 0.219
hgb_pwy302_pc3 2 2 0.312 -0.095 0.779 0.477
hgb_pwy304_pc2 2 2 0.327 0.145 0.759 0.469
hgb_pwy308_pc3 2 2 0.876 0.013 0.037 0.737
hgb_pwy309_pc1 3 3 0.543 -0.06 0.209 0.454
hgb_pwy311_pc4 2 2 0.005 0.046 1 0.016
hgb_pwy313_pc4 2 2 0.279 0.119 0.819 0.459
hgb_pwy314_pc4 3 3 0.674 0.018 0.106 0.705
hgb_pwy328_pc4 2 2 0.339 0.059 0.743 0.254
hgb_pwy329_pc4 2 2 0.593 -0.047 0.356 0.595
hgb_pwy36_pc2 2 2 0.026 0.12 0.998 0.082
hgb_pwy55_pc3 2 2 0.044 0.11 0.995 0.122
hgb_pwy64_pc1 2 2 0.03 0.1 0.998 0.049
hgb_pwy80_pc4 2 2 0.291 0.08 0.805 0.149
hgb_pwy82_pc5 2 2 0.942 0.01 0.008 0.821
hgb_pwy89_pc2 2 2 0.316 -0.05 0.773 0.181
hgb_pwy89_pc3 2 2 0.013 -0.059 1 0.042
hgb_pwy95_pc1 2 2 0.012 0.067 1 0.032
lymph_pwy115_pc4 2 2 0.143 -0.129 0.95 0.193
lymph_pwy161_pc3 2 2 0.621 -0.049 0.314 0.523
lymph_pwy177_pc1 2 2 0.781 0.033 0.114 0.585
lymph_pwy17_pc4 4 4 0.871 -0.01 0.01 0.844
lymph_pwy207_pc3 3 3 0.001 -0.097 0.997 0.004
lymph_pwy20_pc3 2 2 0.021 -0.094 0.999 0.015
lymph_pwy217_pc2 2 2 0.871 -0.023 0.04 0.651
lymph_pwy21_pc4 2 2 0.548 -0.183 0.425 0.486
lymph_pwy21_pc5 2 2 0.088 -0.095 0.981 0.172
lymph_pwy260_pc2 2 2 0.542 -0.074 0.435 0.525
lymph_pwy26_pc1 2 2 0.238 -0.128 0.867 0.439
lymph_pwy276_pc4 3 3 0.841 -0.018 0.025 0.864
lymph_pwy280_pc3 3 2 0.158 0.077 0.709 0.22
lymph_pwy29_pc3 2 2 0.625 0.093 0.309 0.545
lymph_pwy310_pc5 2 2 0.147 -0.073 0.947 0.375
lymph_pwy323_pc5 2 1 0.198 -0.08 0.906 0.435
lymph_pwy326_pc5 2 1 0.227 -0.087 0.879 0.466
lymph_pwy46_pc4 2 2 0.048 -0.069 0.994 0.052
lymph_pwy48_pc3 2 2 0.084 0.134 0.983 0.211
lymph_pwy5_pc5 2 2 0.575 0.059 0.383 0.545
lymph_pwy6_pc2 2 2 0.507 0.111 0.489 0.523
lymph_pwy71_pc1 2 2 0.036 -0.115 0.997 0.101
lymph_pwy76_pc1 2 2 0.043 -0.088 0.995 0.109
lymph_pwy83_pc5 2 2 0.084 0.138 0.983 0.103
lymph_pwy87_pc5 3 3 0.491 0.037 0.26 0.383
mch_pwy100_pc3 2 2 0.832 -0.026 0.068 0.721
mch_pwy105_pc1 3 3 0.306 0.081 0.482 0.237
mch_pwy107_pc1 2 2 0.002 0.075 1 0.001
mch_pwy107_pc3 2 2 0.113 -0.091 0.969 0.163
mch_pwy119_pc1 2 2 0.162 -0.052 0.936 0.287
mch_pwy127_pc5 2 2 0.108 -0.102 0.971 0.188
mch_pwy133_pc2 2 2 0.095 0.072 0.978 0.192
mch_pwy155_pc5 3 3 0.087 -0.082 0.833 0.155
mch_pwy156_pc5 2 2 0.19 -0.13 0.914 0.285
mch_pwy157_pc4 2 2 0.031 0.102 0.998 0.036
mch_pwy164_pc4 2 2 0.789 0.071 0.106 0.658
