Category LV40-Enrichment LV40-Enrichment_p LV73-Enrichment LV73-Enrichment_p LV41-Enrichment LV41-Enrichment_p  LV29-Enrichment LV29-Enrichment_p LV15-Enrichment LV15-Enrichment_p
Intron_UCSC.bedL2_0 0.901281725622261 0.099807845461896 1.10464261407553 0.135104666939664 1.0823692944916 0.450474728898831 NA 1.04777545112229 0.603495658968338 0.896362767082717 0.169914996102734
Intron_UCSC.extend.500.bedL2_0 0.804687530431858 0.00144875786148923 0.912199111132459 0.0854892905090754 0.88642022383458 0.0667574301727766 NA 0.927025442811678 0.258204215706536 0.920732483302451 0.18400307987365
PromoterFlanking_Hoffman.bedL2_0 -1.2374989071809 0.423015651593252 -3.84681685758935 0.142072700398802 -1.98139941518585 0.414662102191898 NA -5.16881852494086 0.0694903853704329 -1.40329783271488 0.507756539705547
PromoterFlanking_Hoffman.extend.500.bedL2_0 1.1611352748219 0.860223317872809 0.0732811955459837 0.292554914395563 -0.367989508054045 0.252954704244781 NA 1.06725177480392 0.937206829545651 -0.460052056874947 0.237613476234572
Promoter_UCSC.bedL2_0 1.95964805582594 0.367773815803526 -1.05459236180595 0.205046119346815 0.831372701852999 0.882252338720166 NA -3.77139492564857 0.341380537795993 -2.06594613171023 0.298945932649849
Promoter_UCSC.extend.500.bedL2_0 2.11874954914706 0.0865485420389253 0.680504475778065 0.589019260929798 1.71960371384728 0.160538712680427 NA -0.712289101076064 0.263668370439028 0.341485006116588 0.52234300837782
Repressed_Hoffman.bedL2_0 1.26117577960625 0.131290115088247 1.3665116996372 0.0313980301508987 1.40882080525187 0.0361825769407554 NA 1.48814455439563 0.00531179444185601 1.2854962853173 0.0682132682970687
Repressed_Hoffman.extend.500.bedL2_0 0.992238147706178 0.825502103560608 0.940310018752013 0.113393224971275 0.991427437402907 0.840051584766889 NA 0.920408317017772 0.0206400835268827 0.96708700721907 0.398805503797669
SuperEnhancer_Hnisz.bedL2_0 1.4954442223909 1.87864627618872e-05 1.6233189451891 2.13980336266393e-08 1.31379556220319 0.033817671214283 NA 1.50774753024325 1.43322111328358e-05 1.64106544094223 1.0710213460673e-10
SuperEnhancer_Hnisz.extend.500.bedL2_0 1.51827254985298 2.19053237865874e-06 1.69366718032767 2.21036939957671e-12 1.41763252892296 0.000471705388021367 NA 1.45796961445087 6.90991406853785e-06 1.48078151165284 5.86897417826356e-05
TFBS_ENCODE.bedL2_0 1.62759045370605 0.352668083229155 2.59500652749389 0.0142805240602378 2.14825395366761 0.232736759105647 NA 2.15972619935865 0.0925257119909143 3.16401942672551 0.00335477581500545
TFBS_ENCODE.extend.500.bedL2_0 1.90314760896554 3.00739069973443e-05 1.82912396767794 6.18121528058398e-05 1.68428831192476 0.0121590828134948 NA 1.80102320536433 0.000352097361536793 1.94812425375714 5.36948283346617e-06
Transcribed_Hoffman.bedL2_0 0.386680529202065 0.00136565585369827 0.151209561658447 0.000130542447216325 0.344426974606364 0.00354815748908184 NA 0.0918284910845675 1.04644688362847e-06 0.188970932840014 9.86412931720905e-06
Transcribed_Hoffman.extend.500.bedL2_0 0.971079786571049 0.584364057024739 0.882835856414385 0.0197281542953245 0.870423831885091 0.0129385884176672 NA 0.883465663250654 0.0141954897067381 0.901005396789282 0.0414012840221164
TSS_Hoffman.bedL2_0 0.0799140518702359 0.51019327119936 2.46989863936932 0.3129948570352 0.81126839838742 0.906057676245822 NA 0.178937824121375 0.610985768652578 2.79341965347126 0.345833601065466
TSS_Hoffman.extend.500.bedL2_0 1.73387039903355 0.313602041958038 2.43600705155116 0.0362392239552078 2.88407641735237 0.0124347452010262 NA 1.24821056192327 0.762051364606495 1.85884911607395 0.270769469670773
UTR_3_UCSC.bedL2_0 1.70316390615822 0.679029352113565 -2.49886812438914 0.0958264640804447 1.39377130124674 0.814341938850286 NA -1.77291931679883 0.223246988636961 0.494564128295851 0.816099374371274
UTR_3_UCSC.extend.500.bedL2_0 0.186641817446509 0.259090096294946 -0.554491280432487 0.125672671790494 -0.240433338706744 0.115647770405033 NA -1.57875211995103 0.243964369366335 -0.685132602424408 0.195103895880013
UTR_5_UCSC.bedL2_0 -0.158198360316086 0.618060153606173 -2.57688132762721 0.2950295084504 3.19337627245017 0.355205024229376 NA 1.56231241957215 0.861957034597416 0.386664514253516 0.815736992947355
UTR_5_UCSC.extend.500.bedL2_0 -1.26634776679695 0.223274031466868 0.316860208174328 0.443068889738107 1.15636843867077 0.845881157233333 NA 0.388903536723306 0.375195461410043 1.05019596974109 0.957968322589394
