factors	hsq	SE	zscore	pval	qvalues
pwy23_pc5	1e-06	1.060038	9.43362407762741e-07	0.9999992473057	0.999999495060585
pwy230_pc1	1e-06	1.305191	7.66171387942454e-07	0.999999388683679	0.999999495060585
pwy230_pc2	0.999999	1.20311	0.831178362743224	0.405872876215042	0.999999495060585
pwy230_pc3	1e-06	1.165849	8.57744013161224e-07	0.999999315619295	0.999999495060585
pwy230_pc4	1e-06	1.388419	7.20243672839395e-07	0.999999425328693	0.999999495060585
pwy230_pc5	0.24894	1.191887	0.20886208172419	0.834555905695456	0.999999495060585
pwy231_pc1	1e-06	1.309157	7.63850325056506e-07	0.999999390535619	0.999999495060585
pwy231_pc2	0.999999	1.260564	0.793294906089655	0.427606023956116	0.999999495060585
pwy231_pc3	1e-06	0.921805	1.08482813610254e-06	0.999999134432379	0.999999495060585
pwy231_pc4	0.999999	1.130883	0.884263889367866	0.376553776668401	0.999999495060585
pwy231_pc5	0.411182	1.242992	0.330800198231364	0.740795411140894	0.999999495060585
pwy232_pc1	0.865412	1.086313	0.796650689073959	0.425653929801541	0.999999495060585
pwy232_pc2	0.999999	1.343626	0.744253981390655	0.456722835880435	0.999999495060585
pwy232_pc3	1e-06	1.233798	8.10505447407112e-07	0.999999353310217	0.999999495060585
pwy232_pc4	0.999999	1.405351	0.711565295787316	0.476734003644022	0.999999495060585
pwy232_pc5	1e-06	1.214865	8.23136727126059e-07	0.999999343231914	0.999999495060585
pwy233_pc1	0.525442	1.213577	0.432969642634954	0.665036824175866	0.999999495060585
pwy233_pc2	0.999999	1.206644	0.828744020605912	0.407249270621762	0.999999495060585
pwy233_pc3	1e-06	1.164234	8.58933856939413e-07	0.999999314669937	0.999999495060585
pwy233_pc4	1e-06	1.175003	8.51061656863855e-07	0.999999320951044	0.999999495060585
pwy233_pc5	0.697089	1.148955	0.606715667715446	0.544039622622615	0.999999495060585
pwy234_pc1	0.999999	1.158926	0.862866999273465	0.388210596761505	0.999999495060585
pwy234_pc2	0.999999	1.462676	0.683677724937033	0.494178692305	0.999999495060585
pwy234_pc3	0.999999	1.201629	0.832202784719743	0.405294492314598	0.999999495060585
pwy234_pc4	1e-06	1.490097	6.71097250715893e-07	0.999999464541865	0.999999495060585
pwy234_pc5	0.202612	1.077236	0.188085062140515	0.85080997080376	0.999999495060585
pwy235_pc1	1e-06	1.276747	7.83240532384255e-07	0.999999375064472	0.999999495060585
pwy235_pc2	0.999999	1.36697	0.731544218234489	0.464446805963287	0.999999495060585
pwy235_pc3	0.999999	0.91665	1.09092783505155	0.275304637963922	0.999999495060585
pwy235_pc4	1e-06	1.181187	8.46605998880787e-07	0.999999324506144	0.999999495060585
pwy235_pc5	1e-06	1.283149	7.79332719738705e-07	0.999999378182455	0.999999495060585
pwy236_pc1	1e-06	1.307101	7.65051820785081e-07	0.999999389576964	0.999999495060585
pwy236_pc2	0.999999	1.360174	0.735199320086989	0.462218113055496	0.999999495060585
pwy236_pc3	1e-06	1.118364	8.94163259904647e-07	0.99999928656094	0.999999495060585
pwy236_pc4	1e-06	1.267003	7.89264113818199e-07	0.999999370258349	0.999999495060585
pwy236_pc5	1e-06	1.22267	8.17882175893741e-07	0.999999347424439	0.999999495060585
pwy237_pc1	1e-06	1.26402	7.91126722678439e-07	0.999999368772202	0.999999495060585
pwy237_pc2	0.999999	1.238124	0.807672737141029	0.41927900195957	0.999999495060585
pwy237_pc3	0.580533	0.915432	0.634162887030386	0.525974525236353	0.999999495060585
pwy237_pc4	1e-06	1.245701	8.02760855132973e-07	0.999999359489508	0.999999495060585
pwy237_pc5	0.179112	1.151938	0.155487534919414	0.87643698012503	0.999999495060585
pwy238_pc1	0.999999	1.292555	0.773660695289562	0.439131469028702	0.999999495060585
pwy238_pc2	0.999999	1.215225	0.822892057026477	0.410569380029352	0.999999495060585
pwy238_pc3	1e-06	1.499233	6.67007729952582e-07	0.99999946780483	0.999999495060585
pwy238_pc4	0.01704	0.977259	0.0174365239921044	0.98608837164709	0.999999495060585
pwy238_pc5	1e-06	1.305722	7.65859807830457e-07	0.999999388932284	0.999999495060585
pwy239_pc1	0.999999	0.999339	1.00066043654856	0.316991000784527	0.999999495060585
pwy239_pc2	0.999999	1.412284	0.708072172452566	0.478900439493976	0.999999495060585
pwy239_pc3	1e-06	1.204244	8.30396497719731e-07	0.999999337439455	0.999999495060585
pwy24_pc1	0.287983	0.936781	0.307417635498585	0.758525506493642	0.999999495060585
pwy24_pc2	0.999999	1.31036	0.763148295125004	0.445374960495322	0.999999495060585
pwy24_pc3	1e-06	1.403259	7.12626820850606e-07	0.999999431406062	0.999999495060585
pwy24_pc4	1e-06	1.022975	9.77540995625504e-07	0.999999220035132	0.999999495060585
pwy24_pc5	0.272391	1.238244	0.219981683739231	0.825885419573893	0.999999495060585
pwy240_pc1	0.010019	1.233181	0.00812451700115393	0.993517644635188	0.999999495060585
pwy240_pc2	0.506738	1.360591	0.37243962366354	0.709565556970873	0.999999495060585
pwy240_pc3	1e-06	1.126529	8.87682429835362e-07	0.999999291731894	0.999999495060585
pwy240_pc4	0.827171	1.282614	0.644910315964117	0.518985306175187	0.999999495060585
pwy240_pc5	0.28095	1.24459	0.225736989691384	0.82140598692571	0.999999495060585
pwy241_pc1	1e-06	1.261082	7.92969846528616e-07	0.999999367301602	0.999999495060585
pwy241_pc2	0.999999	1.084652	0.921953769503951	0.356552690508699	0.999999495060585
pwy241_pc3	1e-06	1.352903	7.3915129170384e-07	0.999999410242596	0.999999495060585
pwy241_pc4	0.521545	1.218019	0.428191185851781	0.668511932918759	0.999999495060585
pwy241_pc5	1e-06	1.405213	7.11635887228484e-07	0.999999432196713	0.999999495060585
pwy242_pc1	0.999999	1.424883	0.701811306612543	0.482796846649316	0.999999495060585
pwy242_pc2	0.795524	1.254155	0.634310751063465	0.525878041579825	0.999999495060585
pwy242_pc3	1e-06	1.141606	8.75958956067155e-07	0.999999301085873	0.999999495060585
pwy242_pc4	0.540268	1.251719	0.43162083502767	0.666017012995528	0.999999495060585
pwy242_pc5	1e-06	1.428453	7.00058034811086e-07	0.999999441434502	0.999999495060585
pwy243_pc1	0.959137	1.165265	0.823106332036061	0.410447528285535	0.999999495060585
pwy243_pc2	0.999999	1.49695	0.668024316109422	0.504118070968621	0.999999495060585
pwy243_pc3	0.153319	1.133627	0.135246425852595	0.892417041746316	0.999999495060585
pwy243_pc4	0.458021	1.266099	0.361757650863005	0.717533141405186	0.999999495060585
pwy243_pc5	1e-06	1.287698	7.76579601738917e-07	0.999999380379126	0.999999495060585
pwy244_pc1	0.999999	1.389884	0.719483784258255	0.471842889951019	0.999999495060585
pwy244_pc2	1e-06	1.129432	8.85400803235609e-07	0.999999293552369	0.999999495060585
pwy244_pc3	1e-06	1.095193	9.13081073381586e-07	0.999999271466709	0.999999495060585
pwy244_pc4	1e-06	1.436904	6.95940716985964e-07	0.999999444719647	0.999999495060585
pwy244_pc5	0.999999	1.392437	0.718164627914943	0.472655785129987	0.999999495060585
pwy245_pc1	1e-06	1.427966	7.00296785777813e-07	0.999999441244007	0.999999495060585
pwy245_pc2	1e-06	1.287383	7.76769617122488e-07	0.999999380227515	0.999999495060585
pwy245_pc3	0.820009	1.039538	0.788820610694366	0.430216861407333	0.999999495060585
pwy245_pc4	0.999999	1.246378	0.802324014063149	0.422365554825474	0.999999495060585
pwy245_pc5	1e-06	1.289976	7.75208220928141e-07	0.999999381473329	0.999999495060585
pwy246_pc1	1e-06	1.415712	7.06358355371714e-07	0.999999436407574	0.999999495060585
pwy246_pc2	1e-06	1.307437	7.64855209084644e-07	0.999999389733837	0.999999495060585
pwy246_pc3	0.999999	1.150118	0.869475132116878	0.384587304145534	0.999999495060585
pwy246_pc4	0.32302	1.27439	0.25347028774551	0.799904818577075	0.999999495060585
pwy246_pc5	1e-06	1.263915	7.91192445694529e-07	0.999999368719763	0.999999495060585
pwy247_pc1	0.865491	1.201004	0.720639564897369	0.471131304517436	0.999999495060585
pwy247_pc2	1e-06	1.317809	7.58835309214006e-07	0.999999394537023	0.999999495060585
pwy247_pc3	0.718229	1.181421	0.607936544212436	0.543229560913714	0.999999495060585
pwy247_pc4	0.999999	1.251382	0.79911569768464	0.424223328193274	0.999999495060585
pwy247_pc5	1e-06	1.382067	7.23553923217905e-07	0.999999422687496	0.999999495060585
pwy248_pc1	1e-06	1.289646	7.75406584442552e-07	0.999999381315058	0.999999495060585
pwy248_pc2	0.999999	1.500392	0.666491823470133	0.505096788224734	0.999999495060585
