factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_pwy130_pc5 2 2 0.878 0.021 0.036 0.734
allergy_pwy13_pc4 2 1 0.067 0.138 0.989 0.131
allergy_pwy148_pc2 3 2 0.003 -0.158 0.994 0.011
allergy_pwy167_pc3 2 2 0.023 0.095 0.999 0.041
allergy_pwy177_pc3 2 2 0.051 0.132 0.994 0.092
allergy_pwy181_pc4 2 2 0.258 0.163 0.845 0.455
allergy_pwy183_pc3 2 2 0.017 0.211 0.999 0.038
allergy_pwy186_pc3 2 2 0.198 -0.133 0.906 0.396
allergy_pwy192_pc1 2 2 0.91 0.032 0.02 0.774
allergy_pwy206_pc2 2 2 0.002 0.317 1 0.003
allergy_pwy219_pc2 2 2 0.895 0.049 0.027 0.73
allergy_pwy220_pc1 2 2 0.878 -0.051 0.036 0.704
allergy_pwy244_pc3 2 2 0.902 -0.038 0.023 0.744
allergy_pwy250_pc1 2 2 0.081 -0.333 0.984 0.176
allergy_pwy268_pc2 2 2 0.022 0.13 0.999 0.075
allergy_pwy275_pc1 2 2 0.152 0.165 0.944 0.329
allergy_pwy275_pc2 3 3 0.457 -0.104 0.295 0.372
allergy_pwy279_pc4 4 4 0.014 -0.165 0.902 0.068
allergy_pwy63_pc1 2 2 0.755 0.1 0.141 0.548
allergy_pwy64_pc4 3 3 0.736 0.074 0.07 0.75
allergy_pwy76_pc1 3 3 0.474 0.071 0.276 0.386
allergy_pwy89_pc2 2 2 0.037 0.176 0.997 0.101
baso_pwy101_pc4 2 2 0.064 0.041 0.99 0.151
baso_pwy10_pc3 2 2 0.867 -0.013 0.043 0.747
baso_pwy126_pc1 2 2 0.826 0.016 0.072 0.743
baso_pwy137_pc2 2 2 0.261 0.219 0.842 0.429
baso_pwy137_pc3 2 2 0.852 -0.008 0.053 0.678
baso_pwy147_pc2 2 2 0.113 -0.103 0.969 0.255
baso_pwy152_pc4 2 2 0.052 0.071 0.993 0.14
baso_pwy18_pc2 2 2 0.017 0.068 0.999 0.042
baso_pwy18_pc3 2 2 0.001 0.064 1 0.002
baso_pwy19_pc1 2 2 0.096 -0.114 0.977 0.235
baso_pwy230_pc1 2 2 0.958 0.005 0.004 0.887
baso_pwy241_pc5 3 2 0.006 -0.09 0.987 0.068
baso_pwy320_pc5 2 1 0.155 -0.063 0.942 0.334
baso_pwy321_pc4 2 1 0.924 -0.008 0.014 0.844
baso_pwy325_pc4 2 1 0.963 0.003 0.003 0.861
baso_pwy326_pc5 2 2 0.098 -0.07 0.977 0.182
baso_pwy33_pc2 2 2 0.404 0.305 0.648 0.475
baso_pwy42_pc4 2 2 0.137 0.084 0.954 0.273
baso_pwy44_pc1 2 2 0.059 -0.089 0.991 0.128
baso_pwy56_pc2 2 2 0.004 -0.104 1 0.006
baso_pwy59_pc3 3 3 0.467 0.059 0.284 0.359
baso_pwy63_pc5 2 2 0.012 -0.125 1 0.044
baso_pwy70_pc2 2 2 0.127 0.18 0.961 0.199
baso_pwy84_pc2 2 2 0.054 0.092 0.993 0.176
baso_pwy86_pc3 2 2 0.876 -0.013 0.037 0.752
baso_pwy9_pc2 2 2 0.877 -0.019 0.037 0.754
eo_pwy178_pc5 2 2 0.893 -0.012 0.028 0.741
eo_pwy190_pc5 2 2 0.909 -0.008 0.021 0.767
eo_pwy198_pc4 2 2 0.051 -0.068 0.994 0.078
eo_pwy200_pc4 3 3 0.754 0.013 0.061 0.743
eo_pwy203_pc4 2 2 0.974 -0.002 0.002 0.937
eo_pwy206_pc5 3 3 0.826 -0.011 0.03 0.798
eo_pwy209_pc5 2 2 0.059 0.084 0.991 0.099
eo_pwy214_pc2 2 2 0.038 0.123 0.996 0.097
eo_pwy214_pc3 2 2 0.023 0.064 0.999 0.037
eo_pwy231_pc2 3 3 0.753 0.024 0.061 0.702
eo_pwy241_pc4 2 2 0.952 0.005 0.006 0.881
eo_pwy265_pc3 2 2 0.738 -0.023 0.16 0.526
eo_pwy272_pc4 2 2 0.596 0.039 0.352 0.49
eo_pwy28_pc4 2 2 0.057 0.053 0.992 0.102
eo_pwy305_pc1 3 3 0.597 0.034 0.162 0.539
eo_pwy306_pc1 2 2 0.107 -0.099 0.972 0.246
eo_pwy317_pc1 2 2 0.149 0.138 0.946 0.313
eo_pwy332_pc1 2 2 0.705 -0.099 0.199 0.488
eo_pwy45_pc5 2 2 0.951 -0.007 0.006 0.877
eo_pwy46_pc1 2 2 0.781 -0.059 0.114 0.602
eo_pwy63_pc4 2 2 0.114 0.104 0.969 0.262
eo_pwy99_pc2 2 2 0.669 -0.04 0.247 0.499
gran_pwy104_pc4 3 3 0.625 0.025 0.141 0.592
gran_pwy10_pc3 2 2 0.979 0.002 0.001 0.941
gran_pwy122_pc2 2 2 0.178 -0.099 0.924 0.374
gran_pwy127_pc2 5 5 0.596 -0.024 0.076 0.553
gran_pwy128_pc5 2 2 0.026 -0.065 0.998 0.067
gran_pwy135_pc4 2 2 0.086 0.044 0.982 0.254
gran_pwy139_pc4 2 2 0.052 -0.036 0.993 0.147
gran_pwy142_pc1 2 2 0.881 0.015 0.035 0.674
gran_pwy148_pc1 2 2 0.924 0.009 0.014 0.797
gran_pwy166_pc4 3 3 0.702 -0.02 0.089 0.72
gran_pwy167_pc2 2 1 0.937 -0.013 0.01 0.878
gran_pwy174_pc2 2 0 0.047 0.21 0.995 0.116
gran_pwy179_pc4 2 2 0.402 -0.027 0.651 0.395
gran_pwy182_pc1 3 2 0.109 -0.123 0.793 0.231
gran_pwy18_pc1 2 2 0.963 -0.005 0.003 0.904
gran_pwy191_pc1 2 2 0.979 0.002 0.001 0.939
gran_pwy193_pc5 2 1 0.225 0.144 0.88 0.426
gran_pwy194_pc3 2 2 0.029 -0.058 0.998 0.084
gran_pwy1_pc4 2 2 0.901 0.009 0.024 0.761
gran_pwy208_pc1 3 3 0.001 0.078 0.999 0.005
gran_pwy215_pc4 2 2 0.097 -0.073 0.977 0.255
gran_pwy219_pc4 2 2 0.137 0.067 0.954 0.259
gran_pwy237_pc5 2 2 0.052 -0.06 0.993 0.075
gran_pwy238_pc4 2 1 0.196 -0.115 0.908 0.4
gran_pwy248_pc5 2 2 0.052 -0.071 0.993 0.123
gran_pwy250_pc2 3 3 0.65 -0.037 0.122 0.603
gran_pwy266_pc2 2 2 0.16 -0.094 0.938 0.093
gran_pwy270_pc2 2 2 0.987 -0.001 0 0.968
gran_pwy272_pc1 2 2 0.108 -0.087 0.972 0.3
gran_pwy273_pc5 2 2 0.09 -0.065 0.98 0.259
gran_pwy278_pc3 2 2 0.024 -0.057 0.999 0.04
gran_pwy299_pc5 3 3 0.688 0.014 0.097 0.699
gran_pwy305_pc1 2 2 0.83 -0.027 0.07 0.631
gran_pwy318_pc2 2 2 0.946 -0.006 0.007 0.847
gran_pwy319_pc4 2 2 0.061 0.05 0.991 0.17
gran_pwy320_pc4 2 1 0.272 -0.147 0.829 0.456
gran_pwy321_pc5 2 0 0.056 -0.129 0.992 0.15
gran_pwy325_pc4 2 0 0.083 0.117 0.983 0.174
gran_pwy329_pc4 2 2 0.954 -0.005 0.005 0.874
gran_pwy42_pc2 3 3 0.666 0.03 0.111 0.667
gran_pwy47_pc1 2 2 0.644 0.055 0.282 0.575
gran_pwy47_pc2 2 2 0.869 -0.018 0.042 0.708
gran_pwy4_pc5 3 3 0.708 0.027 0.085 0.744
gran_pwy63_pc3 3 3 0.672 -0.033 0.107 0.67
gran_pwy70_pc2 2 2 0.175 -0.138 0.927 0.385
gran_pwy70_pc3 2 2 0.176 -0.144 0.926 0.393
gran_pwy77_pc1 2 2 0.037 0.09 0.997 0.016
gran_pwy83_pc3 2 2 0.08 0.066 0.984 0.236
gran_pwy85_pc1 2 2 0.022 -0.081 0.999 0.024
gran_pwy87_pc4 2 2 0.008 0.083 1 0.014
gran_pwy88_pc1 2 2 0.122 0.128 0.964 0.24
gran_pwy88_pc5 2 2 0.819 0.015 0.079 0.6
gran_pwy95_pc4 2 2 0.102 -0.058 0.974 0.254
gran_pwy99_pc1 3 3 0.495 -0.068 0.255 0.354
gran_pwy99_pc3 2 2 0.132 0.05 0.958 0.257
hct_pwy10_pc2 2 2 0.991 0.001 0 0.958
hct_pwy121_pc2 2 2 0.404 -0.032 0.649 0.39
