factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
allergy_pwy141_pc2 3 3 0.793 0.022 0.043 0.813
allergy_pwy171_pc1 2 2 0.076 -0.261 0.986 0.056
allergy_pwy17_pc1 2 2 0.943 -0.014 0.008 0.816
allergy_pwy193_pc3 2 2 0.86 0.031 0.048 0.667
allergy_pwy198_pc2 2 1 0.942 -0.016 0.008 0.906
allergy_pwy221_pc2 2 2 0.788 0.082 0.107 0.634
allergy_pwy238_pc4 2 0 0.132 0.127 0.958 0.217
allergy_pwy242_pc2 2 2 0.967 -0.007 0.003 0.899
allergy_pwy245_pc5 3 3 0.695 0.034 0.093 0.728
allergy_pwy259_pc3 2 2 0.892 0.018 0.029 0.78
allergy_pwy281_pc2 2 2 0.883 -0.019 0.034 0.691
allergy_pwy309_pc3 2 2 0.001 -0.128 1 0.001
allergy_pwy325_pc4 2 0 0.116 -0.142 0.967 0.206
allergy_pwy43_pc4 2 2 0.51 -0.157 0.485 0.501
allergy_pwy67_pc2 2 2 0.721 -0.058 0.18 0.619
allergy_pwy70_pc2 2 2 0.928 0.021 0.013 0.911
allergy_pwy87_pc1 3 3 0.812 -0.046 0.035 0.792
allergy_pwy8_pc3 3 3 0.3 0.104 0.491 0.283
baso_pwy137_pc2 2 2 0.194 -0.264 0.91 0.402
baso_pwy138_pc3 2 2 0.402 -0.136 0.652 0.491
baso_pwy149_pc1 2 1 0.19 0.316 0.913 0.223
baso_pwy157_pc4 4 4 0.995 0 0 0.996
baso_pwy168_pc5 2 1 0.052 0.063 0.993 0.181
baso_pwy259_pc1 2 2 0.793 0.054 0.102 0.595
baso_pwy263_pc3 2 1 0.047 0.056 0.995 0.163
baso_pwy275_pc4 2 2 0.769 -0.02 0.126 0.648
baso_pwy281_pc2 2 2 0.451 0.124 0.577 0.487
baso_pwy290_pc3 2 1 0.111 0.061 0.97 0.307
baso_pwy314_pc4 3 2 0.006 0.049 0.988 0.057
baso_pwy67_pc2 2 2 0.922 -0.018 0.015 0.773
baso_pwy74_pc4 3 3 0.621 -0.041 0.144 0.576
eo_pwy100_pc5 3 3 0.935 -0.009 0.004 0.951
eo_pwy140_pc3 3 3 0.61 0.018 0.152 0.584
eo_pwy164_pc4 2 2 0.02 -0.07 0.999 0.053
eo_pwy249_pc5 2 2 0.028 0.078 0.998 0.076
eo_pwy256_pc3 2 2 0.767 -0.014 0.129 0.729
eo_pwy302_pc4 2 2 0.825 0.018 0.073 0.62
eo_pwy308_pc2 2 2 0.615 -0.055 0.323 0.591
eo_pwy314_pc3 2 2 0.816 -0.034 0.082 0.613
eo_pwy5_pc3 2 2 0.046 0.056 0.995 0.09
eo_pwy62_pc5 2 2 0.054 -0.064 0.993 0.11
eo_pwy63_pc3 3 3 0.648 -0.03 0.124 0.611
eo_pwy78_pc2 2 2 0.868 -0.026 0.042 0.716
eo_pwy82_pc2 2 2 0.231 0.093 0.874 0.367
eo_pwy89_pc3 3 3 0.615 0.042 0.148 0.561
eo_pwy8_pc1 2 2 0.705 -0.046 0.199 0.594
eo_pwy95_pc1 2 2 0.907 0.012 0.021 0.781
eo_pwy97_pc3 2 2 0.835 0.032 0.066 0.694
gran_pwy113_pc3 2 2 0.814 -0.009 0.083 0.664
gran_pwy114_pc4 2 2 0.886 -0.007 0.032 0.714
gran_pwy115_pc3 2 2 0.856 -0.008 0.05 0.686
gran_pwy116_pc4 2 2 0.814 0.012 0.083 0.604
gran_pwy117_pc3 3 2 0.674 -0.022 0.106 0.678
gran_pwy126_pc2 2 2 0.777 0.014 0.118 0.588
gran_pwy127_pc1 2 2 0.151 0.054 0.945 0.331
gran_pwy129_pc4 2 1 0.304 -0.081 0.789 0.478
gran_pwy135_pc5 2 2 0.877 -0.01 0.037 0.703
gran_pwy139_pc4 2 2 0.079 -0.028 0.985 0.234
gran_pwy143_pc4 3 3 0.875 -0.005 0.016 0.895
gran_pwy146_pc5 3 3 0.547 -0.029 0.205 0.446
gran_pwy148_pc1 2 2 0.894 0.032 0.027 0.842
gran_pwy149_pc1 2 1 0.279 0.165 0.82 0.468
gran_pwy151_pc4 2 2 0.812 -0.008 0.084 0.604
gran_pwy155_pc4 2 2 0.782 0.02 0.112 0.561
gran_pwy162_pc5 2 2 0.952 -0.003 0.006 0.876
gran_pwy163_pc2 2 2 0.872 0.009 0.04 0.698
gran_pwy165_pc5 2 2 0.981 0.002 0.001 0.952
gran_pwy168_pc5 3 2 0.066 0.113 0.873 0.206
gran_pwy175_pc2 2 2 0.068 -0.078 0.989 0.217
gran_pwy180_pc4 2 2 0.858 -0.009 0.049 0.686
gran_pwy183_pc2 2 2 0.611 0.056 0.329 0.486
gran_pwy184_pc3 2 2 0.872 0.009 0.04 0.658
gran_pwy186_pc3 2 2 0.906 -0.006 0.022 0.777
gran_pwy187_pc3 2 2 0.896 -0.007 0.027 0.764
gran_pwy194_pc5 2 2 0.011 -0.062 1 0.033
gran_pwy195_pc3 3 2 0.61 -0.034 0.152 0.574
gran_pwy197_pc3 5 5 0.84 -0.009 0.012 0.857
gran_pwy201_pc3 2 1 0.864 0.023 0.045 0.721
gran_pwy203_pc2 2 1 0.082 0.111 0.984 0.211
gran_pwy207_pc2 2 2 0.872 0.011 0.04 0.698
gran_pwy209_pc2 2 2 0.812 -0.025 0.085 0.604
gran_pwy20_pc4 2 2 0.089 -0.129 0.981 0.257
gran_pwy210_pc3 2 2 0.796 -0.014 0.099 0.591
gran_pwy216_pc3 2 2 0.019 0.077 0.999 0.068
