factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
asthma_2_pwy289_pc5 5 0 0.233 -4.908 0.528 -4.64291088966976 0.321617417317381 0.577
asthma_2_pwy292_pc4 2 0 0.053 12.05 0.073 12.2906868214008 0 0
asthma_2_pwy292_pc5 7 0 0.479 -2.29 0.508 -4.70640861364956 0.173780560576705 0.415
asthma_2_pwy302_pc1 2 2 0.151 -11.168 0.261 -12.6760513863916 0 0
asthma_2_pwy305_pc4 2 0 0.088 -3.615 0.347 -3.80612842289812 0 0
asthma_2_pwy312_pc4 2 0 0.121 8.479 0.288 8.88788042263504 0 0
asthma_2_pwy314_pc5 2 0 0.051 -7.494 0.374 -7.66523697873129 0 0
asthma_2_pwy319_pc5 2 2 0.89 2.353 0.757 1.50737571322547 4.94996463595532e-63 0.752
asthma_2_pwy320_pc2 2 0 0.844 0.996 0.969 -3.78987928696655 0 0
asthma_2_pwy320_pc3 29 0 0.032 -0.464 0.043 -0.679785269583161 0.00155484734178099 0.006
asthma_2_pwy321_pc2 3 0 0 -6.836 0.032 -6.88002350562775 0 0
asthma_2_pwy321_pc3 6 0 0.077 2.703 0.125 2.64060593831832 0.0654887105957298 0.137
asthma_2_pwy321_pc4 3 3 0.683 -2.008 0.454 -1.34538356206222 0 0
asthma_2_pwy321_pc5 29 0 0.022 -0.574 0.031 -0.792257896745587 0.000898416199117778 0.007
asthma_2_pwy322_pc4 14 0 0.012 -2.486 0.03 -2.71248801054182 0.000962391273299116 0.016
asthma_2_pwy322_pc5 3 0 0.409 3.396 0.156 2.61033581112064 0 0
asthma_2_pwy324_pc1 2 0 0.14 5.778 0.082 6.88793206198146 0 0
asthma_2_pwy324_pc3 2 0 0.002 9.17 0.006 9.16995742461289 0 0
asthma_2_pwy324_pc4 3 0 0.782 -1.912 0.954 -1.56883268570028 4.876607673014e-257 0.988
asthma_2_pwy325_pc1 2 0 0.003 5.135 0.006 5.1542389315275 0 0
asthma_2_pwy325_pc3 13 0 0.29 -1.089 0.344 -1.54010729089369 0.167304090676915 0.245
asthma_2_pwy325_pc4 28 0 0.026 -0.535 0.043 -0.740754348904406 0.00125567945746185 0.005
asthma_2_pwy325_pc5 24 0 0.214 0.749 0.194 1.55206642138528 0.0153650470572786 0.044
asthma_2_pwy326_pc3 9 0 0.545 -0.757 0.311 -1.85914898530072 0.268728106187491 0.207
asthma_2_pwy326_pc4 29 0 0.023 0.498 0.04 0.694572485167361 0.000970512697918889 0.007
asthma_2_pwy326_pc5 8 0 0.483 1.113 0.465 2.06720730657971 0.28456108535771 0.446
asthma_2_pwy327_pc4 2 0 0.093 9.009 0.24 9.86548703700067 0 0
asthma_2_pwy327_pc5 5 0 0.674 -1.104 0.834 0.401096071633136 0.892946619058595 0.678
asthma_2_pwy329_pc2 3 0 0.432 -4.27 0.239 -1.85501194249 4.6888822419353e-231 0.459
asthma_2_pwy33_pc5 2 2 0.935 0.888 0.47 0.835350884191216 2.47801158524436e-57 0.476
asthma_2_pwy331_pc4 14 0 0.696 -0.502 0.608 0.49272559231045 0.757315505794128 0.717
asthma_2_pwy331_pc5 16 0 0.491 -0.889 0.478 -0.52472460097462 0.724274499311406 0.697
asthma_2_pwy50_pc4 2 0 0.025 -10.777 0.127 -10.8154620253257 0 0
asthma_2_pwy54_pc3 2 2 0.953 -0.861 0.643 -1.64670450638196 2.36062326592602e-127 0.585
asthma_2_pwy71_pc3 2 0 0.003 9.017 0.01 9.01788105489575 0 0
asthma_2_pwy71_pc5 2 2 0.084 14.04 0.274 14.8243991061631 0 0
asthma_2_pwy79_pc1 2 2 0.923 1.54 0.691 -1.36900796722718 4.54824472273902e-69 0.561
asthma_2_pwy79_pc2 2 0 0.762 -3.595 0.333 2.36831805300185 1.80213011705427e-151 0.96
asthma_2_pwy82_pc1 2 2 0.864 1.885 0.754 -1.28598789498292 9.10536571630563e-64 0.594
bmi_pwy101_pc5 2 2 0.168 0.303 0.366 0.298285973568693 2.58504519432472e-25 0.358
