factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
baso_pwy191_pc1 3 3 0.472 -0.12 0.279 0.418
baso_pwy210_pc3 2 2 0.907 0.013 0.021 0.709
baso_pwy217_pc2 2 2 0.966 -0.005 0.003 0.867
baso_pwy220_pc3 3 2 0.766 -0.018 0.055 0.788
baso_pwy221_pc1 2 2 0.027 0.098 0.998 0.052
baso_pwy235_pc1 2 2 0.141 0.139 0.951 0.351
baso_pwy238_pc5 3 2 0.539 0.03 0.212 0.474
baso_pwy240_pc1 3 3 0.035 0.171 0.931 0.155
baso_pwy246_pc1 4 4 0.567 -0.102 0.121 0.564
baso_pwy271_pc1 2 2 0.971 -0.005 0.002 0.89
baso_pwy276_pc2 2 2 0.457 0.075 0.567 0.49
baso_pwy281_pc2 2 2 0.008 -0.06 1 0.032
baso_pwy298_pc1 3 3 0.479 0.085 0.272 0.324
baso_pwy317_pc3 2 2 0.009 -0.15 1 0.013
baso_pwy319_pc1 2 2 0.037 0.092 0.997 0.085
baso_pwy319_pc2 2 2 0.029 0.118 0.998 0.024
baso_pwy320_pc1 3 3 0.338 0.123 0.439 0.264
baso_pwy322_pc3 2 1 0.94 -0.009 0.009 0.81
baso_pwy325_pc5 2 1 0.939 -0.008 0.009 0.856
baso_pwy52_pc1 2 2 0.109 0.365 0.971 0.265
baso_pwy70_pc1 2 2 0.982 0.003 0.001 0.936
baso_pwy7_pc1 2 1 0.498 -0.129 0.503 0.49
baso_pwy80_pc1 2 2 0.649 0.116 0.274 0.578
baso_pwy84_pc4 2 1 0.032 0.072 0.997 0.097
eo_pwy144_pc4 2 2 0.009 0.068 1 0.011
eo_pwy147_pc5 2 2 0.004 -0.062 1 0.002
eo_pwy156_pc4 2 2 0.08 -0.084 0.984 0.195
eo_pwy159_pc3 3 3 0.462 0.046 0.289 0.39
eo_pwy183_pc4 2 2 0.265 -0.095 0.837 0.343
eo_pwy190_pc3 2 2 0.963 0.005 0.003 0.918
eo_pwy191_pc1 2 2 0.533 -0.177 0.449 0.544
eo_pwy192_pc1 2 2 0.341 -0.263 0.74 0.526
eo_pwy197_pc4 2 2 0.065 0.066 0.99 0.075
eo_pwy198_pc4 2 2 0.945 0.009 0.007 0.863
eo_pwy211_pc3 3 3 0.856 0.016 0.021 0.862
eo_pwy218_pc4 2 2 0.037 0.081 0.997 0.099
eo_pwy235_pc3 2 2 0.013 -0.05 1 0.013
eo_pwy236_pc2 3 3 0.486 0.074 0.264 0.387
eo_pwy237_pc4 2 2 0.978 0.002 0.001 0.945
eo_pwy245_pc2 2 2 0.047 -0.152 0.995 0.119
eo_pwy265_pc4 2 2 0.956 0.004 0.005 0.886
eo_pwy266_pc5 3 3 0.318 0.054 0.465 0.256
eo_pwy279_pc2 2 2 0.802 0.025 0.094 0.745
eo_pwy283_pc1 2 2 0.009 -0.134 1 0.015
eo_pwy28_pc4 3 3 0.807 -0.018 0.037 0.84
eo_pwy290_pc4 3 3 0.524 0.027 0.227 0.468
eo_pwy304_pc3 3 3 0.892 0.006 0.012 0.889
eo_pwy41_pc2 2 2 0.944 -0.005 0.008 0.861
eo_pwy4_pc1 2 2 0.167 0.121 0.932 0.248
eo_pwy50_pc3 2 2 0.99 -0.001 0 0.978
eo_pwy52_pc4 2 2 0.117 -0.097 0.966 0.255
eo_pwy69_pc1 2 2 0.117 -0.14 0.967 0.234
eo_pwy86_pc4 2 2 0.872 -0.018 0.04 0.71
gran_pwy120_pc1 2 2 0.05 0.097 0.994 0.097
gran_pwy146_pc2 2 2 0.073 -0.113 0.987 0.212
gran_pwy146_pc3 2 2 0.703 -0.031 0.203 0.61
gran_pwy14_pc4 3 3 0.008 0.094 0.984 0.067
gran_pwy163_pc1 2 2 0.033 -0.089 0.997 0.137
gran_pwy166_pc5 2 2 0.135 0.113 0.956 0.362
gran_pwy171_pc1 2 2 0.775 0.092 0.12 0.585
gran_pwy182_pc4 2 2 0.154 -0.133 0.943 0.335
gran_pwy203_pc1 2 2 0.655 0.073 0.267 0.623
gran_pwy21_pc1 2 2 0.954 -0.007 0.005 0.826
gran_pwy251_pc1 2 2 0.964 0.005 0.003 0.908
gran_pwy268_pc1 2 2 0.83 -0.033 0.07 0.585
gran_pwy278_pc3 3 3 0.88 -0.016 0.014 0.917
gran_pwy295_pc5 2 2 0.576 -0.028 0.382 0.525
gran_pwy317_pc3 3 3 0.89 -0.019 0.012 0.9
gran_pwy322_pc3 2 1 0.932 -0.024 0.011 0.767
gran_pwy326_pc5 2 1 0.704 0.065 0.2 0.548
gran_pwy332_pc2 2 1 0.232 0.183 0.873 0.475
gran_pwy71_pc2 2 2 0.965 -0.005 0.003 0.891
gran_pwy71_pc3 2 2 0.914 -0.014 0.018 0.727
gran_pwy77_pc1 2 2 0.016 0.134 0.999 0.079
gran_pwy7_pc2 2 2 0.907 0.011 0.021 0.719
gran_pwy84_pc4 2 1 0.85 0.035 0.054 0.617
