factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy6_peer1 2 2 0.859 0.051 0.761
pwy61_peer3 2 2 0.727 -0.088 0.631
pwy67_peer1 2 2 0.863 0.049 0.77
pwy8_peer1 2 2 0.848 -0.055 0.738
pwy82_peer4 2 2 0.002 -0.341 0.003
pwy83_peer1 2 2 0.831 0.075 0.696
pwy87_peer1 2 2 0.879 -0.042 0.796
pwy9_peer1 2 2 0.86 -0.049 0.763
pwy91_peer1 2 2 0.859 0.053 0.761
pwy92_peer1 2 2 0.85 -0.056 0.743
pwy93_peer1 2 2 0.841 -0.057 0.717
pwy96_peer5 2 2 0.133 0.229 0.191
pwy97_peer1 2 2 0.87 -0.051 0.78
pwy97_peer4 2 2 0.68 0.092 0.597
pwy98_peer1 2 2 0.835 -0.055 0.705
pwy99_peer1 2 2 0.866 0.053 0.774
pwy99_peer4 2 2 0.682 -0.096 0.597
pwy127_peer3 5 5 0.244 -0.035 0.24
pwy142_peer4 2 2 0.07 -0.092 0.137
pwy145_peer4 2 2 0.061 -0.089 0.114
pwy152_peer4 2 2 0.825 -0.011 0.705
pwy167_peer2 2 2 0.227 0.067 0.323
pwy175_peer5 2 2 0.165 -0.092 0.324
pwy182_peer2 2 2 0.215 0.079 0.389
pwy199_peer4 2 2 0.157 -0.092 0.305
pwy213_peer4 3 3 0.39 0.037 0.275
pwy224_peer3 3 3 0.819 -0.033 0.811
pwy232_peer4 4 4 0.652 0.026 0.622
pwy236_peer3 2 2 0.718 0.073 0.562
pwy268_peer3 3 3 0.327 0.06 0.243
pwy299_peer4 2 2 0.079 0.092 0.15
pwy305_peer4 2 2 0.056 -0.09 0.108
pwy321_peer4 7 7 0.268 -0.02 0.275
pwy322_peer2 2 2 0.004 0.055 0.006
pwy332_peer4 2 2 0.076 0.094 0.148
pwy11_peer1 2 2 0.146 0.225 0.218
pwy189_peer5 2 2 0.072 0.215 0.111
pwy29_peer2 2 2 0.458 0.182 0.499
pwy295_peer5 2 2 0.2 -0.102 0.221
pwy323_peer2 2 2 0.087 -0.165 0.124
pwy43_peer4 2 2 0.943 -0.015 0.865
