factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.UC_pwy1159_pc5 2 2 0.062 0.346 0.991 0.123
EUR.UC_pwy115_pc5 2 2 0.037 0.339 0.997 0.06
EUR.UC_pwy1160_pc5 2 2 0.059 -0.346 0.991 0.117
EUR.UC_pwy116_pc3 2 2 0.068 -0.7 0.989 0.185
EUR.UC_pwy1174_pc2 2 2 0.004 -0.44 1 0.003
EUR.UC_pwy1177_pc4 3 3 0.858 0.099 0.02 0.949
EUR.UC_pwy1182_pc5 3 3 0.003 -0.365 0.994 0.024
EUR.UC_pwy121_pc4 2 2 0.002 -0.144 1 0.023
EUR.UC_pwy134_pc3 2 2 0.094 0.55 0.978 0.248
EUR.UC_pwy139_pc1 3 3 0 0.359 0.999 0
EUR.UC_pwy168_pc2 4 4 0.937 -0.066 0.002 0.899
EUR.UC_pwy176_pc4 2 2 0.042 0.713 0.996 0.097
EUR.UC_pwy181_pc3 2 2 0.003 -0.534 1 0
EUR.UC_pwy182_pc3 2 2 0.01 0.358 1 0.04
EUR.UC_pwy183_pc4 2 2 0.044 0.548 0.995 0.097
EUR.UC_pwy186_pc4 2 2 0.044 0.548 0.995 0.097
EUR.UC_pwy187_pc5 2 2 0.114 -0.424 0.968 0.214
EUR.UC_pwy188_pc4 2 2 0.016 -0.251 0.999 0.057
EUR.UC_pwy205_pc1 2 2 0.875 -0.06 0.038 0.709
EUR.UC_pwy213_pc3 3 3 0.638 0.142 0.131 0.59
EUR.UC_pwy221_pc3 2 2 0.051 0.346 0.994 0.142
EUR.UC_pwy242_pc1 2 2 0.895 -0.088 0.027 0.755
EUR.UC_pwy258_pc2 2 2 0.073 0.648 0.987 0.177
EUR.UC_pwy259_pc2 2 2 0.073 0.648 0.987 0.177
EUR.UC_pwy269_pc5 2 2 0.075 0.279 0.986 0.123
EUR.UC_pwy271_pc4 2 2 0.969 -0.029 0.002 0.974
EUR.UC_pwy271_pc5 2 2 0.07 -0.284 0.988 0.114
EUR.UC_pwy273_pc4 2 2 0.06 0.498 0.991 0.16
EUR.UC_pwy274_pc3 2 2 0.044 0.258 0.995 0.108
EUR.UC_pwy280_pc4 2 2 0.078 -0.419 0.985 0.219
EUR.UC_pwy286_pc5 2 2 0.772 -0.304 0.123 0.533
EUR.UC_pwy28_pc5 2 2 0.022 -0.361 0.999 0.014
EUR.UC_pwy29_pc5 2 2 0.695 0.167 0.212 0.519
EUR.UC_pwy300_pc2 2 2 0.032 0.295 0.997 0.123
EUR.UC_pwy301_pc2 2 2 0.032 0.73 0.997 0.094
EUR.UC_pwy301_pc4 2 2 0.034 -0.534 0.997 0.074
EUR.UC_pwy304_pc5 2 2 0.125 0.301 0.962 0.293
EUR.UC_pwy328_pc5 3 3 0.003 0.336 0.993 0.031
EUR.UC_pwy329_pc5 2 2 0.134 0.324 0.957 0.282
EUR.UC_pwy330_pc3 2 2 0.975 -0.019 0.001 0.983
EUR.UC_pwy341_pc4 2 2 0.085 0.364 0.982 0.171
EUR.UC_pwy345_pc5 2 2 0.911 0.069 0.019 0.707
EUR.UC_pwy348_pc5 2 2 0.021 0.32 0.999 0.071
EUR.UC_pwy349_pc5 3 3 0.008 -0.351 0.984 0.041
EUR.UC_pwy350_pc5 2 2 0.049 -0.353 0.994 0.088
EUR.UC_pwy355_pc1 2 2 0.9 -0.111 0.025 0.661
EUR.UC_pwy36_pc3 2 2 0.072 -0.586 0.987 0.12
EUR.UC_pwy403_pc5 2 2 0.094 0.578 0.978 0.279
EUR.UC_pwy405_pc5 2 2 0.047 0.367 0.995 0.1
EUR.UC_pwy424_pc5 2 2 0.116 0.559 0.967 0.276
EUR.UC_pwy472_pc1 2 2 0.094 -0.353 0.978 0.188
EUR.UC_pwy484_pc5 2 2 0.706 -0.163 0.199 0.519
EUR.UC_pwy486_pc5 2 2 0.706 -0.163 0.199 0.519
EUR.UC_pwy493_pc2 2 2 0.102 -0.603 0.975 0.274
EUR.UC_pwy495_pc3 2 2 0.731 0.19 0.168 0.519
EUR.UC_pwy499_pc5 2 2 0.107 0.269 0.972 0.242
EUR.UC_pwy514_pc1 2 2 0.909 -0.17 0.02 0.809
EUR.UC_pwy515_pc1 2 2 0.909 -0.17 0.02 0.809
EUR.UC_pwy518_pc2 2 2 0.085 1.251 0.982 0.048
EUR.UC_pwy519_pc2 2 2 0.085 1.251 0.982 0.048
EUR.UC_pwy521_pc1 2 2 0.034 0.75 0.997 0.083
EUR.UC_pwy530_pc5 2 2 0.023 0.127 0.999 0.023
EUR.UC_pwy535_pc5 3 3 0.771 -0.122 0.053 0.788
EUR.UC_pwy538_pc1 2 2 0.138 -0.493 0.954 0.214
