factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
gran_pwy316_pc3 2 2 0.933 0.007 0.011 0.789
gran_pwy320_pc2 2 1 0.584 0.087 0.37 0.516
gran_pwy321_pc4 4 2 0.158 -0.099 0.538 0.101
gran_pwy325_pc4 2 1 0.657 -0.063 0.263 0.537
gran_pwy329_pc3 2 2 0.838 0.022 0.064 0.625
gran_pwy50_pc5 3 3 0.774 -0.022 0.051 0.778
gran_pwy72_pc1 2 2 0.976 0.004 0.001 0.931
gran_pwy85_pc4 2 2 0.096 -0.099 0.977 0.19
gran_pwy88_pc5 2 2 0.152 -0.088 0.944 0.322
hct_pwy112_pc3 3 3 0.073 -0.154 0.86 0.196
hct_pwy13_pc1 2 2 0.938 0.009 0.01 0.93
hct_pwy20_pc2 2 2 0.282 -0.277 0.816 0.438
hct_pwy219_pc2 2 2 0.932 -0.009 0.011 0.883
hct_pwy231_pc2 2 2 0.086 0.106 0.982 0.253
hct_pwy304_pc2 2 2 0.04 -0.073 0.996 0.09
hct_pwy57_pc5 4 4 0.929 0.007 0.003 0.908
hct_pwy93_pc4 3 3 0.5 -0.068 0.25 0.343
hgb_pwy101_pc5 2 1 0.645 0.028 0.28 0.52
hgb_pwy105_pc3 2 2 0.334 -0.077 0.749 0.28
hgb_pwy112_pc3 2 2 0.227 -0.166 0.878 0.43
hgb_pwy121_pc2 2 1 0.011 -0.131 1 0.011
hgb_pwy123_pc3 2 2 0.966 0.003 0.003 0.894
hgb_pwy124_pc3 2 2 0.994 -0.001 0 0.976
hgb_pwy147_pc5 2 2 0.492 -0.146 0.513 0.499
hgb_pwy149_pc5 2 2 0.728 0.045 0.171 0.555
hgb_pwy175_pc1 2 2 0.691 -0.081 0.217 0.579
hgb_pwy183_pc5 2 1 0.101 0.064 0.975 0.166
hgb_pwy217_pc3 2 2 0.727 -0.031 0.173 0.56
hgb_pwy221_pc3 2 2 0.069 -0.079 0.988 0.214
hgb_pwy232_pc3 2 2 0.947 0.005 0.007 0.896
hgb_pwy244_pc5 2 2 0.84 0.021 0.062 0.638
hgb_pwy247_pc5 2 2 0.318 0.053 0.771 0.22
hgb_pwy298_pc3 2 2 0.996 0 0 0.982
hgb_pwy300_pc2 2 2 0.056 -0.095 0.992 0.171
hgb_pwy306_pc5 2 2 0.824 0.031 0.075 0.608
hgb_pwy307_pc3 2 2 0.841 -0.018 0.061 0.674
hgb_pwy314_pc3 2 2 0.292 0.072 0.803 0.151
hgb_pwy316_pc3 3 3 0.281 0.058 0.517 0.209
hgb_pwy320_pc2 2 2 0.023 -0.089 0.999 0.034
hgb_pwy327_pc5 2 2 0.931 0.009 0.012 0.803
hgb_pwy40_pc4 2 2 0.868 0.02 0.043 0.929
hgb_pwy54_pc3 2 2 0.95 0.004 0.006 0.851
hgb_pwy57_pc5 4 4 0.488 0.051 0.172 0.5
hgb_pwy73_pc4 2 2 0.212 -0.249 0.894 0.288
hgb_pwy77_pc5 2 2 0.066 0.084 0.989 0.206
hgb_pwy79_pc2 2 2 0.106 -0.084 0.972 0.262
hgb_pwy91_pc3 2 2 0.929 -0.007 0.012 0.81
hgb_pwy93_pc4 3 3 0.494 -0.065 0.256 0.374
lymph_pwy130_pc2 2 2 0.903 -0.01 0.023 0.76
lymph_pwy139_pc5 2 2 0.221 0.057 0.884 0.445
lymph_pwy144_pc3 2 2 0.053 0.072 0.993 0.164
lymph_pwy150_pc4 2 2 0.893 -0.009 0.028 0.766
lymph_pwy152_pc4 2 2 0.91 0.008 0.02 0.753
lymph_pwy153_pc3 2 2 0.047 -0.085 0.995 0.119
lymph_pwy155_pc5 2 2 0.225 0.059 0.88 0.446
lymph_pwy175_pc3 2 2 0.049 0.074 0.994 0.104
lymph_pwy219_pc4 2 2 0.86 0.011 0.048 0.664
lymph_pwy221_pc5 2 2 0.891 -0.008 0.029 0.756
lymph_pwy258_pc3 3 3 0.6 -0.068 0.16 0.563
lymph_pwy263_pc3 2 2 0.987 0.002 0 0.967
lymph_pwy266_pc5 2 2 0.094 0.065 0.978 0.278
lymph_pwy281_pc5 2 1 0.722 0.041 0.179 0.511
lymph_pwy290_pc2 2 2 0.822 0.03 0.076 0.631
lymph_pwy291_pc4 2 2 0.907 0.004 0.021 0.781
lymph_pwy312_pc1 2 2 0.059 0.147 0.992 0.148
lymph_pwy323_pc4 2 1 0.688 0.049 0.222 0.529
lymph_pwy329_pc1 2 2 0.047 0.092 0.995 0.052
lymph_pwy48_pc1 2 2 0.987 0.003 0 0.963
lymph_pwy64_pc2 2 2 0.779 -0.03 0.115 0.653
lymph_pwy87_pc3 2 2 0.058 0.077 0.992 0.148
mch_pwy108_pc4 2 2 0.97 0.003 0.002 0.937
mch_pwy112_pc5 2 2 0.604 0.11 0.34 0.513
mch_pwy116_pc2 2 2 0.189 0.151 0.914 0.319
mch_pwy122_pc2 2 2 0.739 0.062 0.159 0.584
mch_pwy122_pc5 2 2 0.054 -0.045 0.993 0.093
mch_pwy123_pc5 3 3 0.063 0.077 0.878 0.12
mch_pwy128_pc4 2 2 0.625 -0.099 0.309 0.515
mch_pwy129_pc4 2 2 0.215 0.086 0.891 0.382
mch_pwy135_pc3 2 2 0.952 0.005 0.006 0.892
mch_pwy145_pc4 2 2 0.901 -0.007 0.024 0.809
mch_pwy150_pc4 2 2 0.893 -0.007 0.028 0.775
mch_pwy151_pc4 2 2 0.032 -0.049 0.998 0.065
mch_pwy152_pc3 2 2 0.983 0.003 0.001 0.958
mch_pwy161_pc4 2 2 0.963 0.003 0.003 0.917
mch_pwy166_pc2 2 2 0.944 -0.008 0.008 0.871
mch_pwy179_pc3 2 2 0.89 -0.008 0.029 0.77
mch_pwy188_pc4 2 2 0.565 0.126 0.398 0.513
mch_pwy189_pc4 2 2 0.124 0.068 0.962 0.208
mch_pwy194_pc3 2 2 0.281 -0.179 0.818 0.408
mch_pwy212_pc2 2 2 0.769 0.039 0.126 0.616
mch_pwy217_pc4 2 2 0.781 -0.016 0.114 0.648
mch_pwy242_pc1 2 2 0.91 -0.027 0.02 0.877
mch_pwy245_pc2 2 2 0.653 -0.05 0.268 0.577
mch_pwy250_pc5 3 3 0.574 0.041 0.181 0.516
mch_pwy257_pc1 2 2 0.651 0.046 0.271 0.594
mch_pwy258_pc2 2 2 0.939 -0.008 0.009 0.87
mch_pwy259_pc4 2 2 0.74 0.049 0.158 0.605
mch_pwy263_pc4 2 2 0.124 -0.069 0.963 0.237
mch_pwy267_pc3 2 2 0.172 0.12 0.928 0.307
mch_pwy26_pc5 2 2 0.551 -0.074 0.42 0.51
mch_pwy273_pc5 2 2 0.486 0.056 0.522 0.475
mch_pwy283_pc5 2 2 0.978 -0.001 0.001 0.962
mch_pwy284_pc5 3 3 0.69 0.014 0.096 0.688
mch_pwy288_pc5 3 3 0.257 0.052 0.551 0.27
mch_pwy28_pc3 2 2 0.934 0.008 0.011 0.849
mch_pwy294_pc4 3 3 0.352 -0.032 0.42 0.292
mch_pwy298_pc2 2 2 0.015 0.094 0.999 0.038
mch_pwy29_pc1 2 2 0.329 -0.179 0.757 0.486
mch_pwy305_pc5 3 3 0.758 0.016 0.058 0.799
mch_pwy30_pc4 2 2 0.712 -0.086 0.191 0.599
mch_pwy31_pc2 2 2 0.66 0.039 0.26 0.594
mch_pwy327_pc1 2 2 0.31 0.093 0.781 0.26
mch_pwy330_pc2 2 2 0.082 0.071 0.983 0.175
mch_pwy33_pc3 2 2 0.088 0.072 0.981 0.192
mch_pwy39_pc5 2 2 0.261 0.198 0.841 0.436
mch_pwy42_pc3 2 2 0.24 0.24 0.864 0.374
mch_pwy55_pc3 2 2 0.906 0.016 0.022 0.802
mch_pwy57_pc4 2 2 0.947 -0.007 0.007 0.897
mch_pwy78_pc4 2 2 0.216 0.11 0.89 0.373
mch_pwy83_pc5 2 2 0.795 0.056 0.1 0.628
mch_pwy96_pc3 2 2 0.327 0.072 0.759 0.48
mchc_pwy131_pc2 2 2 0.101 -0.087 0.975 0.255
mchc_pwy140_pc1 2 2 0.612 0.126 0.328 0.498
mchc_pwy141_pc5 2 2 0.11 -0.068 0.971 0.275
mchc_pwy183_pc1 2 2 0.281 -0.181 0.817 0.469
mchc_pwy250_pc1 2 2 0.017 0.113 0.999 0.044
mchc_pwy285_pc1 2 2 0.269 0.168 0.831 0.448
mchc_pwy289_pc1 2 2 0.935 0.008 0.01 0.843
mchc_pwy2_pc3 2 2 0.131 -0.104 0.958 0.314
mchc_pwy302_pc5 3 3 0.662 -0.026 0.114 0.639
mchc_pwy308_pc5 2 2 0.978 -0.002 0.001 0.94
mchc_pwy312_pc2 2 2 0.884 0.024 0.033 0.72
mchc_pwy313_pc2 2 2 0.046 0.086 0.995 0.124
mchc_pwy315_pc2 2 2 0.062 0.078 0.991 0.139
mchc_pwy329_pc2 2 2 0.984 -0.002 0.001 0.957
mchc_pwy43_pc5 2 2 0.801 0.021 0.095 0.682
mchc_pwy45_pc2 2 2 0.972 0.003 0.002 0.928
mchc_pwy51_pc2 2 2 0.997 0 0 0.996
mcv_pwy112_pc5 2 2 0.568 0.141 0.394 0.495
mcv_pwy122_pc2 2 2 0.779 0.045 0.116 0.603
mcv_pwy129_pc4 2 2 0.226 0.095 0.879 0.372
mcv_pwy12_pc1 2 2 0.068 -0.194 0.989 0.149
mcv_pwy135_pc3 2 2 0.941 0.006 0.009 0.864
mcv_pwy136_pc2 2 2 0.034 -0.102 0.997 0.039
mcv_pwy146_pc5 2 2 0.683 -0.044 0.228 0.535
