factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy25_pc3 2 2 0.045 0.14 0.073
pwy257_pc1 2 2 0.858 0.013 0.757
pwy259_pc1 2 2 0.874 -0.009 0.785
pwy267_pc1 2 2 0.878 -0.011 0.793
pwy268_pc1 2 2 0.875 -0.009 0.789
pwy270_pc1 2 2 0.882 -0.005 0.801
pwy271_pc1 2 2 0.889 -0.005 0.825
pwy274_pc1 2 2 0.883 -0.007 0.812
pwy276_pc1 2 2 0.877 -0.007 0.79
pwy279_pc1 2 2 0.848 -0.009 0.736
pwy28_pc1 2 2 0.871 0.019 0.783
pwy285_pc1 2 2 0.862 -0.008 0.765
pwy288_pc1 2 2 0.866 -0.005 0.775
pwy289_pc1 2 2 0.863 -0.006 0.769
pwy290_pc1 2 2 0.876 -0.006 0.789
pwy292_pc1 2 2 0.853 -0.007 0.752
pwy293_pc1 2 2 0.863 -0.006 0.769
pwy294_pc1 2 2 0.877 -0.004 0.789
pwy295_pc1 2 2 0.862 0.008 0.765
pwy299_pc1 2 2 0.857 0.008 0.757
pwy301_pc1 2 2 0.88 -0.009 0.8
pwy304_pc1 2 2 0.872 -0.009 0.785
pwy307_pc1 2 2 0.862 -0.012 0.765
pwy312_pc1 2 2 0.848 -0.011 0.738
pwy314_pc1 2 2 0.88 -0.007 0.797
pwy315_pc1 2 2 0.886 -0.006 0.82
pwy316_pc1 2 2 0.871 -0.008 0.783
pwy317_pc1 2 2 0.876 -0.011 0.789
pwy318_pc1 2 2 0.838 -0.012 0.71
pwy319_pc1 2 2 0.843 -0.009 0.722
pwy321_pc1 2 2 0.219 -0.032 0.137
pwy322_pc1 2 2 0.838 -0.011 0.712
pwy323_pc2 3 3 0.986 0.001 0.988
pwy325_pc5 2 2 0.144 -0.117 0.224
pwy326_pc5 2 2 0.016 0.115 0.02
pwy327_pc1 2 2 0.798 -0.016 0.65
pwy328_pc1 2 2 0.894 0.009 0.833
pwy329_pc1 2 2 0.858 0.013 0.757
pwy330_pc1 2 2 0.903 0.008 0.849
pwy331_pc1 2 2 0.862 -0.011 0.766
pwy36_pc1 2 2 0.079 0.067 0.152
pwy4_pc4 4 4 0.024 0.215 0.054
pwy43_pc1 2 2 0.905 0.006 0.842
pwy44_pc1 2 2 0.833 0.019 0.702
pwy45_pc1 3 3 0.545 -0.018 0.487
pwy46_pc1 2 2 0.84 -0.021 0.714
pwy47_pc1 2 2 0.87 -0.012 0.783
pwy53_pc1 2 2 0.842 -0.016 0.718
pwy6_pc1 2 2 0.86 -0.016 0.763
pwy61_pc1 2 2 0.872 -0.014 0.785
pwy61_pc3 2 2 0.725 0.044 0.63
