factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.UC_pwy294_pc2 2 2 0.195 0.585 0.909 0.212
EUR.UC_pwy295_pc1 2 2 0.871 0.322 0.041 0.673
EUR.UC_pwy300_pc1 2 2 0.813 -0.359 0.084 0.644
EUR.UC_pwy313_pc1 2 2 0.999 0.002 0 0.994
EUR.UC_pwy31_pc2 2 2 0.09 -0.642 0.98 0.311
EUR.UC_pwy325_pc5 3 1 0.147 0.793 0.728 0.188
EUR.UC_pwy326_pc5 2 1 0.705 0.663 0.2 0.572
EUR.UC_pwy32_pc1 2 1 0.012 1.033 1 0.026
EUR.UC_pwy48_pc2 2 1 0.037 -1.432 0.997 0.125
EUR.UC_pwy4_pc1 2 1 0.941 -0.104 0.009 0.799
EUR.UC_pwy55_pc5 2 2 0.036 0.785 0.997 0.111
EUR.UC_pwy6_pc3 2 2 0.095 1.412 0.978 0.261
EUR.UC_pwy70_pc3 2 1 0.981 -0.034 0.001 0.944
EUR.UC_pwy79_pc4 2 2 0.013 -0.957 1 0.033
EUR.UC_pwy99_pc4 3 3 0.003 0.818 0.995 0.018
HDL_pwy120_pc2 2 2 0.058 0.16 0.992 0.115
HDL_pwy138_pc5 2 2 0.148 -0.2 0.947 0.296
HDL_pwy159_pc2 2 2 0.008 0.225 1 0.021
HDL_pwy177_pc1 2 2 0.405 0.361 0.647 0.489
HDL_pwy192_pc2 2 2 0.389 -0.209 0.671 0.396
HDL_pwy194_pc1 2 2 0.02 -0.213 0.999 0.028
HDL_pwy219_pc1 2 2 0.982 -0.005 0.001 0.958
HDL_pwy245_pc4 2 2 0.906 -0.018 0.022 0.784
HDL_pwy320_pc3 2 1 0.675 0.037 0.239 0.598
HDL_pwy325_pc4 2 1 0.73 0.035 0.169 0.602
HDL_pwy55_pc1 2 2 0.641 -0.137 0.286 0.614
HDL_pwy61_pc1 2 2 0.063 0.27 0.99 0.084
HDL_pwy65_pc3 2 2 0.045 0.161 0.995 0.104
HDL_pwy71_pc2 3 3 0.491 -0.136 0.259 0.371
HDL_pwy7_pc3 2 2 0.039 0.124 0.996 0.086
HDL_pwy8_pc2 3 3 0.01 -0.25 0.979 0.024
LDL_pwy118_pc3 2 2 0.332 0.355 0.752 0.458
LDL_pwy144_pc1 2 2 0.965 0.01 0.003 0.932
LDL_pwy149_pc3 2 2 0.196 0.512 0.909 0.309
LDL_pwy156_pc5 2 1 0.048 -0.106 0.994 0.072
LDL_pwy161_pc5 2 2 0.023 0.101 0.999 0.028
LDL_pwy186_pc1 2 2 0.694 -0.092 0.214 0.57
LDL_pwy238_pc1 2 1 0.02 0.17 0.999 0.019
LDL_pwy242_pc5 2 2 0.352 0.7 0.724 0.426
LDL_pwy243_pc5 2 2 0.796 0.079 0.099 0.659
LDL_pwy283_pc3 2 2 0.016 0.11 0.999 0.023
LDL_pwy284_pc4 3 2 0.468 0.098 0.283 0.428
LDL_pwy308_pc3 2 1 0.552 -0.162 0.419 0.541
LDL_pwy325_pc1 2 1 0.037 -0.161 0.997 0.034
LDL_pwy327_pc2 2 2 0.784 -0.107 0.111 0.639
LDL_pwy3_pc5 2 2 0.748 -0.198 0.149 0.638
SCZ_pwy101_pc3 2 2 0.739 -0.107 0.159 0.572
SCZ_pwy101_pc5 2 2 0.005 0.182 1 0.02
SCZ_pwy10_pc2 3 3 0.928 -0.024 0.005 0.937
SCZ_pwy121_pc2 2 1 0.48 0.523 0.531 0.496
SCZ_pwy121_pc3 4 1 0.001 -0.603 0.979 0.002
SCZ_pwy130_pc1 2 1 0.06 0.53 0.991 0.2
SCZ_pwy13_pc2 2 2 0.133 0.292 0.957 0.36
SCZ_pwy145_pc3 2 2 0.617 0.227 0.321 0.523
SCZ_pwy155_pc3 2 2 0.053 0.4 0.993 0.131
SCZ_pwy15_pc3 2 2 0.028 0.281 0.998 0.124
SCZ_pwy167_pc3 5 1 0 0.45 0.974 0.018
SCZ_pwy168_pc2 4 4 0.734 0.145 0.044 0.741
SCZ_pwy169_pc5 2 2 0.947 -0.024 0.007 0.799
SCZ_pwy16_pc3 2 2 0.082 -0.213 0.983 0.197
SCZ_pwy174_pc5 2 2 0.02 -0.236 0.999 0.014
SCZ_pwy181_pc3 3 3 0.005 -0.335 0.99 0.009
SCZ_pwy181_pc5 2 1 0.033 0.377 0.997 0.147
