factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.IBD_pwy1174_pc3 4 4 0.146 0.591 0.559 0.151
EUR.IBD_pwy1175_pc3 2 2 0.427 0.715 0.613 0.451
EUR.IBD_pwy117_pc4 3 3 0.462 0.248 0.289 0.273
EUR.IBD_pwy1182_pc4 2 2 0.874 -0.106 0.039 0.758
EUR.IBD_pwy1193_pc5 2 2 0.051 -0.146 0.994 0.153
EUR.IBD_pwy1194_pc3 2 2 0.822 -0.168 0.076 0.742
EUR.IBD_pwy1195_pc4 2 2 0.953 -0.041 0.005 0.857
EUR.IBD_pwy119_pc4 2 2 0.89 0.072 0.03 0.751
EUR.IBD_pwy120_pc2 2 2 0.069 -0.927 0.988 0.191
EUR.IBD_pwy1210_pc3 4 4 0.987 0.005 0 0.991
EUR.IBD_pwy1217_pc2 2 2 0.907 0.097 0.021 0.79
EUR.IBD_pwy1218_pc2 2 2 0.907 0.097 0.021 0.79
EUR.IBD_pwy122_pc4 2 2 0.972 -0.025 0.002 0.952
EUR.IBD_pwy123_pc4 3 3 0.581 0.219 0.176 0.436
EUR.IBD_pwy124_pc4 2 2 0.902 0.108 0.023 0.707
EUR.IBD_pwy125_pc1 2 2 0.037 -0.269 0.997 0.087
EUR.IBD_pwy125_pc2 2 2 0.115 0.242 0.967 0.271
EUR.IBD_pwy12_pc4 2 2 0.119 0.995 0.966 0.325
EUR.IBD_pwy131_pc2 2 2 0.201 0.745 0.903 0.344
EUR.IBD_pwy134_pc2 2 2 0.806 0.287 0.09 0.595
EUR.IBD_pwy134_pc3 2 2 0.037 -0.661 0.997 0.11
EUR.IBD_pwy149_pc1 2 2 0.255 0.615 0.848 0.401
EUR.IBD_pwy14_pc4 3 3 0.247 1.176 0.568 0.252
EUR.IBD_pwy154_pc5 2 2 0.88 0.14 0.035 0.712
EUR.IBD_pwy156_pc5 2 2 0.009 0.964 1 0.001
EUR.IBD_pwy165_pc4 2 2 0.958 -0.043 0.004 0.94
EUR.IBD_pwy169_pc4 2 2 0.906 -0.08 0.022 0.849
EUR.IBD_pwy16_pc4 2 2 0.964 -0.032 0.003 0.944
EUR.IBD_pwy174_pc1 2 2 0.878 -0.157 0.036 0.666
EUR.IBD_pwy178_pc1 2 1 0.353 2.018 0.723 0.452
EUR.IBD_pwy17_pc4 2 2 0.979 0.024 0.001 0.966
EUR.IBD_pwy185_pc1 3 3 0.571 -0.546 0.184 0.587
EUR.IBD_pwy18_pc4 2 2 0.98 -0.021 0.001 0.968
EUR.IBD_pwy192_pc3 2 2 0.074 0.536 0.987 0.229
EUR.IBD_pwy196_pc5 2 2 0.101 0.416 0.975 0.249
EUR.IBD_pwy198_pc2 3 3 0.618 -0.408 0.146 0.612
EUR.IBD_pwy19_pc4 2 2 0.987 -0.014 0 0.978
EUR.IBD_pwy201_pc4 2 2 0.983 -0.02 0.001 0.951
EUR.IBD_pwy203_pc4 2 2 0.988 -0.012 0 0.98
EUR.IBD_pwy208_pc1 2 2 0.218 -0.708 0.888 0.409
EUR.IBD_pwy208_pc4 2 2 0.15 -0.561 0.946 0.342
EUR.IBD_pwy20_pc1 2 2 0.901 -0.204 0.024 0.709
EUR.IBD_pwy211_pc2 2 2 0.065 0.685 0.99 0.182
EUR.IBD_pwy212_pc3 2 2 0.54 0.281 0.437 0.499
EUR.IBD_pwy216_pc1 2 2 0.8 0.157 0.095 0.662
EUR.IBD_pwy216_pc4 2 2 0.966 0.02 0.003 0.948
