factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
baso_pwy45_pc4 2 2 0.873 0.021 0.039 0.7
baso_pwy6_pc3 2 2 0.067 -0.079 0.989 0.135
baso_pwy78_pc2 2 2 0.813 0.027 0.084 0.64
baso_pwy88_pc4 3 3 0.906 0.007 0.009 0.946
baso_pwy97_pc2 2 2 0.122 0.117 0.963 0.115
eo_pwy116_pc1 2 2 0.01 0.146 1 0.025
eo_pwy139_pc1 2 2 0.048 0.099 0.994 0.124
eo_pwy140_pc1 2 2 0.039 0.07 0.996 0.094
eo_pwy157_pc3 2 2 0.216 -0.125 0.889 0.442
eo_pwy172_pc2 2 2 0.043 0.087 0.995 0.101
eo_pwy195_pc2 2 2 0.116 -0.105 0.967 0.281
eo_pwy225_pc3 2 2 0.883 -0.028 0.034 0.723
eo_pwy228_pc1 2 2 0.809 -0.025 0.087 0.6
eo_pwy239_pc1 2 2 0.983 0.003 0.001 0.949
eo_pwy241_pc1 3 3 0.007 -0.117 0.986 0.043
eo_pwy260_pc4 2 2 0.895 -0.013 0.027 0.759
eo_pwy271_pc1 2 2 0.057 0.072 0.992 0.14
eo_pwy29_pc1 2 2 0.988 0.002 0 0.977
eo_pwy326_pc5 2 2 0.659 -0.061 0.261 0.522
eo_pwy44_pc3 2 2 0.953 -0.01 0.005 0.885
eo_pwy57_pc3 2 2 0.965 -0.005 0.003 0.914
eo_pwy93_pc1 2 2 0.897 -0.015 0.026 0.753
gran_pwy15_pc4 2 2 0.94 -0.008 0.009 0.812
gran_pwy179_pc3 2 2 0.195 0.099 0.909 0.392
gran_pwy187_pc2 2 2 0.941 0.011 0.009 0.878
gran_pwy18_pc1 2 2 0.334 0.194 0.749 0.496
gran_pwy194_pc5 3 3 0.488 0.054 0.262 0.338
gran_pwy228_pc2 2 2 0.094 0.116 0.978 0.265
gran_pwy262_pc5 2 2 0.966 -0.003 0.003 0.888
gran_pwy266_pc2 2 2 0.915 0.011 0.018 0.768
gran_pwy29_pc2 3 3 0.867 -0.027 0.018 0.901
gran_pwy330_pc5 2 2 0.162 -0.082 0.937 0.375
gran_pwy47_pc5 2 2 0.933 -0.007 0.011 0.8
gran_pwy53_pc5 2 2 0.993 -0.001 0 0.971
gran_pwy64_pc4 2 2 0.743 0.04 0.154 0.523
gran_pwy73_pc3 2 2 0.73 0.048 0.169 0.626
gran_pwy75_pc3 2 2 0.097 0.076 0.977 0.274
gran_pwy77_pc2 5 5 0.373 0.035 0.201 0.341
gran_pwy94_pc5 2 2 0.868 -0.021 0.042 0.73
hct_pwy103_pc4 2 2 0.92 0.013 0.016 0.76
hct_pwy123_pc5 4 4 0.469 0.031 0.185 0.497
hct_pwy131_pc4 4 4 0.25 0.037 0.403 0.18
hct_pwy159_pc3 2 2 0.108 0.052 0.972 0.116
hct_pwy163_pc5 2 2 0.75 0.047 0.147 0.576
hct_pwy202_pc3 2 2 0.669 0.031 0.246 0.545
hct_pwy204_pc3 2 2 0.851 0.022 0.054 0.685
hct_pwy221_pc3 3 3 0.127 0.081 0.762 0.213
hct_pwy234_pc3 2 2 0.001 0.109 1 0.002
hct_pwy250_pc4 2 2 0.207 -0.297 0.898 0.315
hct_pwy255_pc5 2 2 0.089 -0.044 0.981 0.113
hct_pwy260_pc2 2 2 0.122 0.09 0.964 0.332
hct_pwy274_pc2 2 2 0.969 -0.006 0.002 0.935
hct_pwy280_pc5 2 2 0.593 -0.147 0.356 0.504
hct_pwy287_pc5 2 2 0.335 -0.142 0.747 0.469
hct_pwy298_pc3 2 2 0.1 -0.084 0.976 0.114
hct_pwy306_pc3 2 2 0.346 -0.101 0.733 0.461
hct_pwy315_pc3 2 2 0.1 -0.056 0.976 0.114
hct_pwy316_pc3 2 2 0.649 0.032 0.274 0.545
hct_pwy332_pc2 2 2 0.931 0.009 0.012 0.877
hct_pwy36_pc2 2 2 0.787 0.025 0.108 0.619
hct_pwy56_pc3 2 2 0.236 -0.172 0.869 0.437
hct_pwy84_pc4 2 2 0.041 0.081 0.996 0.099
hct_pwy92_pc5 2 2 0.009 -0.096 1 0.014
hgb_pwy103_pc4 2 2 0.901 0.015 0.024 0.732
hgb_pwy114_pc5 2 2 0.983 0.001 0.001 0.942
hgb_pwy121_pc3 3 3 0.006 -0.069 0.988 0.044
hgb_pwy123_pc5 4 3 0.307 0.051 0.334 0.287
hgb_pwy143_pc3 2 1 0.921 0.008 0.015 0.878
hgb_pwy151_pc5 2 1 0.835 -0.021 0.065 0.627
hgb_pwy156_pc4 2 2 0 0.094 1 0.001
hgb_pwy159_pc3 2 2 0.037 0.056 0.997 0.027
hgb_pwy163_pc3 2 2 0.939 0.01 0.009 0.807
hgb_pwy167_pc3 2 2 0.072 0.095 0.987 0.173
hgb_pwy180_pc5 2 2 0.03 0.06 0.998 0.024
hgb_pwy197_pc5 2 1 0.883 0.016 0.033 0.861
hgb_pwy202_pc3 3 2 0.427 0.046 0.328 0.39
hgb_pwy204_pc3 2 2 0.871 0.019 0.04 0.692
hgb_pwy206_pc2 2 1 0.889 -0.017 0.03 0.867
hgb_pwy20_pc3 2 1 0.71 -0.072 0.194 0.533
hgb_pwy213_pc3 2 1 0.922 -0.013 0.015 0.879
hgb_pwy218_pc3 2 1 0.887 0.014 0.031 0.866
hgb_pwy221_pc3 2 2 0.249 0.116 0.855 0.454
hgb_pwy228_pc3 2 1 0.878 -0.016 0.036 0.859
hgb_pwy231_pc4 2 1 0.837 -0.026 0.064 0.603
hgb_pwy234_pc3 2 2 0.003 0.102 1 0.014
hgb_pwy238_pc5 2 1 0.763 -0.036 0.132 0.563
hgb_pwy250_pc1 2 1 0.171 -0.138 0.929 0.326
hgb_pwy250_pc4 3 3 0.121 -0.236 0.772 0.187
hgb_pwy255_pc5 2 2 0.049 -0.044 0.994 0.031
hgb_pwy265_pc3 2 2 0.653 0.076 0.269 0.534
hgb_pwy287_pc5 2 1 0.61 -0.101 0.33 0.505
hgb_pwy288_pc5 2 1 0.892 -0.009 0.028 0.868
hgb_pwy294_pc3 2 2 0.064 -0.056 0.99 0.195
hgb_pwy296_pc5 2 2 0.104 0.053 0.974 0.302
hgb_pwy306_pc3 3 3 0.385 -0.068 0.378 0.348
hgb_pwy315_pc3 2 2 0.079 -0.052 0.985 0.042
hgb_pwy316_pc3 2 2 0.641 0.042 0.285 0.534
hgb_pwy325_pc2 2 2 0.117 0.08 0.966 0.051
hgb_pwy327_pc4 2 2 0.855 -0.015 0.051 0.642
