factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy191_pc3 3 3 0.07 0.06 0.174
pwy194_pc2 2 2 0.958 -0.004 0.907
pwy202_pc2 3 3 0.537 -0.041 0.471
pwy214_pc3 5 5 0.044 0.035 0.045
pwy215_pc1 2 2 0.13 -0.05 0.277
pwy238_pc3 3 3 0.321 -0.022 0.323
pwy248_pc5 3 3 0.012 0.068 0.039
pwy255_pc3 2 2 0.932 0.003 0.862
pwy257_pc2 2 2 0.053 0.083 0.034
pwy258_pc2 2 2 0.976 0.001 0.959
pwy260_pc2 2 2 0.081 0.056 0.079
pwy261_pc2 2 2 0.962 0.004 0.922
pwy265_pc3 2 2 0.129 -0.048 0.242
pwy272_pc1 2 2 0.007 0.051 0.011
pwy273_pc2 2 2 0.091 -0.053 0.179
pwy275_pc4 2 2 0.727 0.019 0.601
pwy275_pc5 2 2 0.754 0.013 0.65
pwy278_pc1 3 3 0.454 -0.034 0.385
pwy279_pc1 2 2 0.099 0.042 0.204
pwy281_pc1 2 2 0.034 -0.035 0.082
pwy284_pc5 2 2 0.055 -0.031 0.119
pwy285_pc5 2 2 0.428 -0.021 0.438
pwy295_pc5 5 5 0.783 -0.007 0.781
pwy299_pc3 4 4 0.255 -0.04 0.253
pwy324_pc4 2 2 0.831 -0.009 0.699
pwy326_pc1 2 2 0.039 0.041 0.053
pwy326_pc5 2 2 0.59 0.033 0.539
pwy328_pc5 3 3 0.756 0.008 0.762
pwy332_pc1 3 3 0.77 0.018 0.783
pwy47_pc4 2 2 0.76 -0.018 0.613
pwy50_pc1 2 2 0.009 -0.077 0.023
pwy55_pc4 3 3 0.62 -0.044 0.576
pwy61_pc5 2 2 0.047 -0.037 0.107
pwy72_pc5 2 2 0.537 0.042 0.545
pwy78_pc2 2 2 0.393 -0.027 0.313
pwy78_pc5 3 3 0.645 -0.017 0.6
pwy96_pc5 2 2 0.935 -0.004 0.845
pwy97_pc3 2 2 0.111 -0.055 0.212
pwy110_pc3 2 2 0.042 -0.175 0.07
pwy134_pc5 2 2 0.767 -0.059 0.728
pwy135_pc3 3 3 0.693 -0.056 0.703
pwy141_pc5 2 2 0.066 0.179 0.078
pwy149_pc3 2 2 0.281 0.446 0.424
pwy155_pc3 2 2 0.236 0.185 0.283
pwy185_pc4 2 2 0.561 0.158 0.521
pwy187_pc4 3 3 0.166 -0.425 0.172
pwy194_pc2 2 2 0.159 0.75 0.133
pwy232_pc5 2 2 0.139 0.219 0.259
pwy236_pc5 2 2 0.588 -0.07 0.542
pwy237_pc3 3 3 0.158 0.14 0.171
pwy242_pc3 3 3 0.301 -0.418 0.274
pwy243_pc5 2 2 0.796 0.079 0.701
pwy250_pc5 2 2 0.12 -0.115 0.217
pwy28_pc3 2 2 0.689 0.059 0.607
pwy284_pc4 2 2 0.019 0.166 0.028
pwy285_pc3 3 3 0.208 0.12 0.21
pwy287_pc3 2 2 0.728 0.032 0.602
pwy295_pc5 2 2 0.078 0.106 0.142
pwy3_pc2 2 2 0.156 0.342 0.264
pwy314_pc2 2 2 0.388 0.308 0.386
pwy314_pc3 2 2 0.373 -0.23 0.363
pwy327_pc2 2 2 0.784 -0.107 0.69
pwy43_pc4 2 2 0.919 -0.015 0.819
pwy46_pc2 3 3 0.023 0.27 0.037
pwy62_pc4 4 4 0.013 -0.209 0.05
pwy62_pc5 2 2 0.141 0.143 0.273
pwy63_pc4 2 2 0.253 0.675 0.298
pwy88_pc3 2 2 0.613 0.095 0.579
pwy99_pc2 2 2 0.838 0.056 0.769
pwy1_pc3 2 2 0.003 0.092 0.009
pwy110_pc5 4 4 0.034 0.117 0.031
pwy117_pc2 2 2 0.131 -0.16 0.254
pwy122_pc4 3 3 0 0.197 0
