factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
pwy114_pc1 2 2 0.886 -0.006 0.82 -0.00158899744304972 0.488758404308039 0.949
pwy116_pc1 2 2 0.885 -0.007 0.819 -0.00185215401297172 0.486245449472691 0.949
pwy121_pc1 2 2 0.861 -0.008 0.764 -0.00319510556008281 0.237968994073654 0.907
pwy124_pc1 2 2 0.87 -0.008 0.78 -0.00297088217075223 0.314973250044736 0.928
pwy125_pc1 2 2 0.879 -0.007 0.796 -0.00224671890663935 0.409828871393622 0.944
pwy125_pc5 2 2 0.155 0.104 0.207 0.0823574891926899 2.85333745514042e-35 0.225
pwy126_pc1 2 2 0.879 -0.008 0.795 -0.00241815281034432 0.404975888944861 0.944
pwy130_pc1 2 2 0.872 -0.01 0.785 -0.00331560862563824 0.33668753782154 0.931
pwy131_pc1 2 2 0.876 -0.007 0.789 -0.00243260588503808 0.375094227446093 0.936
pwy134_pc1 2 2 0.862 -0.015 0.765 -0.00587914658505262 0.244726837647237 0.912
pwy136_pc1 2 2 0.869 -0.007 0.779 -0.0025142069765114 0.311723845627425 0.928
pwy137_pc1 2 2 0.871 -0.007 0.785 -0.0024739076456085 0.328141979461691 0.93
pwy139_pc1 2 2 0.887 -0.005 0.821 -0.00128514213291952 0.508011810652026 0.951
pwy142_pc1 2 2 0.88 -0.007 0.797 -0.00203734599198029 0.418576089573286 0.943
pwy143_pc1 2 2 0.872 -0.005 0.785 -0.00177802906985345 0.333217011836511 0.93
pwy144_pc1 2 2 0.878 -0.008 0.795 -0.00241984039961195 0.404258177550723 0.944
pwy145_pc1 2 2 0.862 -0.008 0.765 -0.00301283997327846 0.247133275608931 0.912
pwy151_pc1 2 2 0.873 -0.006 0.785 -0.00216990551314747 0.35043542831663 0.931
pwy152_pc1 3 3 0.22 -0.041 0.196 -0.0163500898787091 1.01942106183718e-05 0.663
pwy153_pc1 2 2 0.899 -0.006 0.843 -0.00115673843911111 0.673155623881171 0.972
pwy154_pc1 2 2 0.876 -0.009 0.789 -0.00293977482906336 0.381950150767193 0.938
pwy155_pc1 2 2 0.891 -0.006 0.827 -0.00149389969764659 0.555418747034228 0.955
pwy157_pc1 2 2 0.865 -0.013 0.773 -0.00490757407878587 0.26839843513218 0.916
pwy159_pc1 2 2 0.872 -0.006 0.785 -0.00223695847533912 0.332781982799077 0.93
pwy160_pc1 2 2 0.865 -0.01 0.774 -0.00389269017794761 0.270340587796274 0.917
pwy160_pc4 2 2 0.726 -0.049 0.631 -0.00135501264468476 0.871371975863298 0.982
pwy163_pc1 2 2 0.87 -0.008 0.78 -0.00280104784698289 0.313931772875644 0.928
pwy165_pc1 2 2 0.883 -0.006 0.812 -0.00168973656317132 0.456957561255839 0.946
pwy167_pc1 2 2 0.833 -0.009 0.7 -0.00440270589178876 0.0810425376847441 0.85
pwy169_pc1 2 2 0.889 -0.007 0.825 -0.00169763985469775 0.53386129906156 0.954
pwy17_pc1 2 2 0.101 -0.068 0.177 -0.0683023544156514 8.05451713884109e-28 0.409
pwy170_pc1 2 2 0.882 -0.01 0.806 -0.00296932763709296 0.447417115881327 0.945
pwy171_pc1 2 2 0.872 -0.009 0.785 -0.00296500989282499 0.336837579124324 0.931
pwy180_pc1 2 2 0.891 -0.006 0.827 -0.00158121989711257 0.559431589407476 0.955
pwy182_pc2 2 2 0.616 0.05 0.512 0.0276842121365907 2.11141598883766e-09 0.663
pwy183_pc1 2 2 0.862 -0.008 0.765 -0.00295364609622271 0.244301739232044 0.911
pwy185_pc1 2 2 0.832 -0.009 0.7 -0.00452996652323007 0.0781021009807344 0.845
pwy185_pc4 2 2 0.006 0.053 0.007 0.0528192426594534 1.12328001029689e-16 0.55
pwy186_pc1 2 2 0.831 -0.009 0.7 -0.00435779807007477 0.077062316818264 0.843
pwy187_pc1 2 2 0.835 -0.009 0.705 -0.00418898520589075 0.090706893995938 0.855
pwy189_pc1 2 2 0 0.027 0 0.0269998975046574 2.21035213050853e-21 0.509
pwy193_pc1 3 3 0.19 -0.024 0.125 -0.0162896831390641 2.09707838321131e-09 0.479
pwy194_pc1 2 2 0.866 0.015 0.774 0.00568134004541399 0.277240034060489 0.919
pwy195_pc1 2 2 0.908 -0.007 0.864 -0.000887235191155128 0.795560676929381 0.986
pwy198_pc1 2 2 0.88 -0.01 0.801 -0.00315705062053514 0.42673260635076 0.944
pwy199_pc1 2 2 0.879 -0.007 0.795 -0.00214980250068229 0.408450615981977 0.944
pwy2_pc1 2 2 0.887 0.012 0.823 0.00321123522754607 0.511681830360677 0.951
pwy201_pc1 2 2 0.9 -0.007 0.843 -0.00141788795134045 0.676802624930599 0.972
pwy202_pc1 2 2 0.893 -0.007 0.831 -0.00167587136776817 0.580323446693399 0.958
pwy203_pc1 2 2 0.879 -0.009 0.797 -0.00290871220413373 0.413246488463508 0.944
pwy204_pc1 2 2 0.911 -0.008 0.866 -0.000750832546794351 0.847009141619477 0.991
pwy205_pc1 2 2 0.898 -0.006 0.84 -0.00125783339179471 0.64633140822843 0.969
pwy206_pc1 3 3 0.942 0.003 0.959 0.0121694446810972 0.000551850150624599 0.805
pwy209_pc1 2 2 0.885 -0.017 0.817 -0.00465879354402687 0.479936389735254 0.949
pwy210_pc1 2 2 0.878 -0.008 0.793 -0.00255636461027857 0.397960172839352 0.943
pwy213_pc1 2 2 0.881 0.01 0.801 0.00312752781254128 0.438344361310642 0.945
pwy214_pc1 2 2 0.889 -0.008 0.825 -0.00200661642868564 0.526861683426184 0.954
pwy218_pc1 2 2 0.892 0.008 0.831 0.0018296972116062 0.576672513723943 0.958
pwy22_pc3 2 2 0.939 0.014 0.91 -0.0162369557231191 0.0781246622931758 0.894
pwy223_pc1 2 2 0.88 -0.007 0.797 -0.00208016999016518 0.416247180529371 0.943
pwy227_pc1 2 2 0.908 0.007 0.864 0.000909719334505271 0.792068681692599 0.986
pwy231_pc1 2 2 0.857 -0.013 0.757 -0.00516466050456276 0.207995625992688 0.898
pwy232_pc2 2 2 0.08 0.058 0.122 0.054306468798425 5.75215718664204e-18 0.587
