factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
lymph_pwy78_pc2 2 2 0.824 -0.028 0.074 0.612
lymph_pwy80_pc4 2 2 0.114 0.105 0.968 0.275
lymph_pwy99_pc5 2 2 0.801 0.044 0.095 0.584
mch_pwy105_pc2 2 2 0.095 0.085 0.978 0.089
mch_pwy114_pc3 2 2 0.098 -0.093 0.977 0.09
mch_pwy120_pc3 2 2 0.142 -0.107 0.951 0.27
mch_pwy140_pc1 2 2 0.881 0.012 0.035 0.755
mch_pwy144_pc5 2 2 0.728 0.067 0.172 0.627
mch_pwy146_pc3 2 2 0.626 -0.094 0.307 0.543
mch_pwy158_pc5 2 2 0.706 -0.053 0.199 0.592
mch_pwy169_pc5 2 2 0.411 0.053 0.638 0.382
mch_pwy16_pc4 2 2 0.967 0.003 0.003 0.93
mch_pwy179_pc5 2 2 0.184 -0.083 0.919 0.315
mch_pwy211_pc1 2 2 0.633 0.091 0.298 0.551
mch_pwy228_pc1 2 2 0.018 -0.165 0.999 0.027
mch_pwy231_pc4 2 2 0.037 0.091 0.997 0.081
mch_pwy235_pc2 2 2 0.663 0.074 0.255 0.589
mch_pwy238_pc4 2 2 0.132 -0.099 0.958 0.225
mch_pwy240_pc2 2 2 0.924 0.009 0.014 0.837
mch_pwy272_pc1 2 2 0.108 0.11 0.972 0.124
mch_pwy274_pc1 2 2 0.239 -0.158 0.865 0.345
mch_pwy279_pc5 2 2 0.091 0.069 0.98 0.11
mch_pwy27_pc5 2 2 0.105 0.095 0.973 0.196
mch_pwy307_pc4 2 2 0.05 -0.063 0.994 0.084
mch_pwy316_pc5 2 2 0.054 -0.061 0.993 0.058
mch_pwy322_pc4 2 2 0.067 0.087 0.989 0.09
mch_pwy323_pc5 2 2 0.065 0.065 0.989 0.028
mch_pwy328_pc5 2 2 0.982 0.001 0.001 0.957
mch_pwy329_pc5 2 2 0.351 0.066 0.726 0.271
mch_pwy330_pc5 3 3 0.298 -0.052 0.492 0.291
mch_pwy54_pc5 2 2 0.122 0.087 0.964 0.248
mch_pwy78_pc2 2 2 0.894 0.025 0.027 0.851
