factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
baso_pwy261_pc4 2 1 0.046 -0.085 0.995 0.171
baso_pwy265_pc4 2 2 0.986 0.001 0 0.947
baso_pwy271_pc4 2 2 0.615 0.028 0.324 0.551
baso_pwy271_pc5 2 2 0.899 0.006 0.025 0.755
baso_pwy277_pc4 2 2 0.085 0.116 0.982 0.196
baso_pwy282_pc4 2 2 0.942 -0.003 0.008 0.835
baso_pwy283_pc4 2 2 0.629 -0.031 0.303 0.551
baso_pwy290_pc5 2 2 0.988 -0.001 0 0.946
baso_pwy298_pc4 2 2 0.605 0.035 0.338 0.551
baso_pwy311_pc2 2 2 0.961 -0.003 0.004 0.881
baso_pwy320_pc3 2 1 0.046 -0.099 0.995 0.089
baso_pwy39_pc2 2 2 0.85 0.029 0.054 0.644
baso_pwy3_pc2 2 2 0.995 0.001 0 0.99
baso_pwy49_pc1 2 2 0.877 -0.018 0.037 0.71
baso_pwy55_pc2 2 2 0.585 -0.101 0.368 0.527
baso_pwy84_pc1 2 2 0.334 -0.126 0.749 0.393
baso_pwy88_pc4 2 2 0.616 0.044 0.322 0.551
baso_pwy94_pc2 2 2 0.024 -0.057 0.999 0.049
eo_pwy10_pc3 2 2 0.774 -0.038 0.121 0.601
eo_pwy113_pc1 2 2 0.066 -0.054 0.989 0.018
eo_pwy120_pc1 2 2 0.077 0.057 0.985 0.018
eo_pwy126_pc2 2 2 0.825 0.023 0.074 0.624
eo_pwy127_pc5 2 2 0.688 -0.029 0.222 0.59
eo_pwy138_pc1 2 2 0.819 -0.019 0.079 0.648
eo_pwy143_pc1 2 2 0.071 0.047 0.988 0.018
eo_pwy153_pc1 2 2 0.127 -0.063 0.961 0.032
eo_pwy158_pc2 3 3 0.979 -0.003 0 0.981
eo_pwy162_pc4 2 2 0.04 -0.069 0.996 0.043
eo_pwy172_pc3 2 2 0.851 -0.018 0.054 0.674
eo_pwy178_pc4 3 3 0.107 0.056 0.798 0.041
