factors	hsq	SE	zscore	pval	qvalues
pwy119_pc1	0.344048	1.014427	0.339155010661191	0.734492959044841	0.999999406061019
pwy119_pc2	1e-06	1.02005	9.80344100779374e-07	0.999999217798578	0.999999406061019
pwy119_pc3	1e-06	1.126255	8.87898388908373e-07	0.999999291559584	0.999999406061019
pwy119_pc4	1e-06	0.863744	1.15775044457617e-06	0.999999076248795	0.999999406061019
pwy119_pc5	0.568973	0.993603	0.572636153473772	0.566891075322663	0.999999406061019
pwy12_pc1	0.943177	0.73393	1.28510484651125	0.198755648216985	0.999999406061019
pwy12_pc2	1e-06	1.114792	8.97028324566377e-07	0.999999284274949	0.999999406061019
pwy12_pc3	1e-06	0.995738	1.00428024239308e-06	0.9999991987003	0.999999406061019
pwy12_pc4	1e-06	1.103086	9.06547630919076e-07	0.999999276679642	0.999999406061019
pwy12_pc5	1e-06	1.230609	8.12605791116431e-07	0.999999351634385	0.999999406061019
pwy120_pc1	0.392467	1.017398	0.385755623659571	0.699677663409024	0.999999406061019
pwy120_pc2	1e-06	0.936518	1.06778513600379e-06	0.999999148030726	0.999999406061019
pwy120_pc3	1e-06	1.079339	9.26492973940532e-07	0.99999926076556	0.999999406061019
pwy120_pc4	1e-06	1.01426	9.85940488632106e-07	0.999999213333306	0.999999406061019
pwy120_pc5	1e-06	0.87226	1.14644716025038e-06	0.999999085267511	0.999999406061019
pwy121_pc1	0.283471	0.989813	0.286388439028382	0.77458062837663	0.999999406061019
pwy121_pc2	1e-06	0.985095	1.01513052040666e-06	0.999999190043031	0.999999406061019
pwy121_pc3	1e-06	0.96062	1.04099435781058e-06	0.999999169406674	0.999999406061019
pwy121_pc4	1e-06	0.868766	1.15105793735022e-06	0.999999081588643	0.999999406061019
pwy121_pc5	1e-06	0.851111	1.17493487923432e-06	0.9999990625376	0.999999406061019
pwy122_pc1	1e-06	1.026445	9.74236320504265e-07	0.999999222671881	0.999999406061019
pwy122_pc2	1e-06	1.064892	9.39062365009785e-07	0.999999250736637	0.999999406061019
pwy122_pc3	1e-06	1.16311	8.59763908830635e-07	0.999999314007651	0.999999406061019
pwy122_pc4	1e-06	1.17629	8.50130495030987e-07	0.999999321694003	0.999999406061019
pwy122_pc5	0.999999	0.948316	1.05449976590082	0.291654167745309	0.999999406061019
pwy123_pc1	0.047914	0.916884	0.0522574284206072	0.958323574138961	0.999999406061019
pwy123_pc2	1e-06	1.043853	9.57989295427613e-07	0.999999235635132	0.999999406061019
pwy123_pc3	1e-06	1.023572	9.76970843282153e-07	0.999999220490048	0.999999406061019
pwy123_pc4	1e-06	0.890304	1.12321184673999e-06	0.999999103806609	0.999999406061019
pwy123_pc5	1e-06	0.957916	1.04393287094067e-06	0.99999916706208	0.999999406061019
pwy124_pc1	0.133246	0.99226	0.134285368754157	0.893176922493133	0.999999406061019
pwy124_pc2	1e-06	1.035955	9.65292893996361e-07	0.999999229807703	0.999999406061019
