factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
SCZ_pwy101_pc3 3 3 0.935 -0.017 0.004 0.962
SCZ_pwy101_pc5 2 2 0.005 0.182 1 0.023
SCZ_pwy103_pc1 2 2 0.064 0.519 0.99 0.177
SCZ_pwy122_pc1 2 2 0.981 -0.02 0.001 0.911
SCZ_pwy138_pc1 2 2 0.709 -0.139 0.195 0.551
SCZ_pwy145_pc3 2 2 0.617 0.227 0.321 0.485
SCZ_pwy155_pc2 2 2 0.052 0.576 0.993 0.191
SCZ_pwy158_pc4 2 2 0.01 0.427 1 0.052
SCZ_pwy166_pc3 2 2 0.928 -0.056 0.013 0.791
SCZ_pwy168_pc2 4 4 0.734 0.145 0.044 0.742
SCZ_pwy169_pc5 2 2 0.947 -0.024 0.007 0.751
SCZ_pwy16_pc3 2 2 0.082 -0.213 0.983 0.238
SCZ_pwy174_pc5 2 2 0.02 -0.236 0.999 0.011
SCZ_pwy181_pc3 2 2 0.076 -0.364 0.986 0.297
SCZ_pwy183_pc5 3 3 0.031 0.266 0.939 0.199
SCZ_pwy185_pc4 2 2 0.046 -0.449 0.995 0.223
SCZ_pwy196_pc3 2 2 0.039 0.197 0.996 0.122
SCZ_pwy200_pc3 2 2 0.067 -0.364 0.989 0.257
SCZ_pwy20_pc2 2 2 0.069 0.516 0.988 0.276
SCZ_pwy213_pc4 2 2 0.07 -0.333 0.988 0.099
SCZ_pwy228_pc5 3 3 0.004 -0.354 0.993 0.036
SCZ_pwy234_pc3 2 2 0.069 0.252 0.988 0.226
SCZ_pwy234_pc4 2 2 0.079 0.491 0.985 0.046
SCZ_pwy246_pc2 2 2 0.025 -0.408 0.999 0.015
SCZ_pwy255_pc3 3 3 0.005 -0.22 0.99 0.067
SCZ_pwy256_pc3 2 2 0.107 0.201 0.972 0.253
SCZ_pwy257_pc5 2 2 0.128 -0.509 0.96 0.214
SCZ_pwy275_pc5 2 2 0.009 -0.258 1 0.009
SCZ_pwy294_pc5 2 2 0.056 -0.204 0.992 0.202
SCZ_pwy29_pc5 2 2 0.953 -0.029 0.006 0.765
SCZ_pwy2_pc1 2 2 0.74 0.173 0.158 0.549
SCZ_pwy309_pc5 2 2 0.954 -0.022 0.005 0.762
SCZ_pwy310_pc5 3 3 0.332 0.203 0.446 0.269
SCZ_pwy318_pc4 2 2 0.514 -0.251 0.479 0.496
SCZ_pwy322_pc4 2 2 0.051 -0.329 0.994 0.188
SCZ_pwy329_pc3 2 2 0.027 0.243 0.998 0.091
SCZ_pwy36_pc4 2 2 0.061 0.531 0.991 0.287
SCZ_pwy40_pc4 2 2 0.045 -0.35 0.995 0.128
SCZ_pwy40_pc5 2 2 0.098 -0.419 0.977 0.339
SCZ_pwy42_pc1 2 2 0.813 -0.142 0.084 0.525
SCZ_pwy43_pc1 2 2 0.981 -0.018 0.001 0.93
SCZ_pwy47_pc5 2 2 0.637 -0.159 0.291 0.514
SCZ_pwy49_pc2 2 2 0.076 0.374 0.986 0.313
SCZ_pwy55_pc2 4 4 0.515 -0.208 0.153 0.536
SCZ_pwy55_pc3 2 2 0.707 0.173 0.197 0.549
SCZ_pwy65_pc4 3 3 0.987 0.007 0 0.993
SCZ_pwy87_pc3 2 2 0.741 -0.162 0.157 0.549
SCZ_pwy90_pc5 4 4 0.833 0.05 0.017 0.742
SCZ_pwy94_pc2 2 2 0.026 -0.201 0.998 0.134
SCZ_pwy95_pc5 2 2 0.174 -0.288 0.927 0.428
T1D_pwy10_pc1 5 5 0.104 -1.142 0.523 0.078
T1D_pwy11_pc3 2 2 0.817 -0.248 0.08 0.667
T1D_pwy132_pc3 3 3 0.462 0.719 0.29 0.395
