factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.IBD_pwy32_pc4 3 3 0.738 -0.2 0.069 0.745
EUR.IBD_pwy331_pc1 2 2 0.239 -0.61 0.866 0.444
EUR.IBD_pwy336_pc5 2 2 0.93 0.077 0.012 0.808
EUR.IBD_pwy337_pc1 2 2 0.249 -0.593 0.855 0.444
EUR.IBD_pwy339_pc5 2 2 0.039 -0.797 0.996 0.129
EUR.IBD_pwy342_pc4 2 2 0.971 0.026 0.002 0.954
EUR.IBD_pwy344_pc3 2 2 0.052 0.922 0.993 0.162
EUR.IBD_pwy345_pc3 2 2 0.182 0.764 0.921 0.463
EUR.IBD_pwy34_pc3 3 3 0.318 -0.465 0.465 0.298
EUR.IBD_pwy354_pc1 2 2 0.011 -0.542 1 0.038
EUR.IBD_pwy355_pc1 2 2 0.031 0.576 0.998 0.047
EUR.IBD_pwy355_pc4 2 2 0.993 0.005 0 0.987
EUR.IBD_pwy356_pc4 4 4 0.476 -0.28 0.181 0.497
EUR.IBD_pwy357_pc1 2 2 0.045 0.665 0.995 0.059
EUR.IBD_pwy357_pc4 4 4 0.39 0.322 0.251 0.346
EUR.IBD_pwy358_pc4 3 3 0.755 0.142 0.06 0.79
EUR.IBD_pwy360_pc3 2 2 0.524 -0.395 0.462 0.492
EUR.IBD_pwy361_pc3 4 4 0.129 1.781 0.59 0.168
EUR.IBD_pwy362_pc5 2 2 0.053 -1.11 0.993 0.169
EUR.IBD_pwy364_pc4 3 3 0.771 -0.109 0.052 0.791
EUR.IBD_pwy376_pc2 3 3 0.378 -0.385 0.387 0.329
EUR.IBD_pwy378_pc3 3 3 0.168 -0.597 0.693 0.133
EUR.IBD_pwy385_pc4 2 2 0.247 -1.21 0.857 0.444
EUR.IBD_pwy386_pc4 2 2 0.247 -1.21 0.857 0.444
EUR.IBD_pwy390_pc3 3 3 0.59 0.229 0.168 0.553
EUR.IBD_pwy393_pc5 2 2 0.941 0.072 0.009 0.872
EUR.IBD_pwy3_pc4 2 2 0.978 0.018 0.001 0.962
EUR.IBD_pwy402_pc3 2 2 0.962 0.063 0.004 0.91
EUR.IBD_pwy404_pc2 2 2 0.626 -0.246 0.307 0.591
EUR.IBD_pwy405_pc5 2 2 0.792 0.25 0.103 0.53
EUR.IBD_pwy409_pc4 3 3 0.677 -0.303 0.105 0.663
EUR.IBD_pwy419_pc4 2 2 0.125 0.897 0.962 0.403
EUR.IBD_pwy430_pc4 2 2 0.691 -0.408 0.218 0.557
EUR.IBD_pwy437_pc3 2 2 0.122 1.142 0.964 0.391
EUR.IBD_pwy44_pc2 2 2 0.022 -0.686 0.999 0.002
EUR.IBD_pwy462_pc2 3 3 0.196 1.242 0.647 0.2
EUR.IBD_pwy465_pc3 2 2 0.02 -0.58 0.999 0.003
EUR.IBD_pwy470_pc4 2 2 0.87 -0.198 0.041 0.678
EUR.IBD_pwy471_pc5 2 2 0.998 0.003 0 0.995
EUR.IBD_pwy479_pc5 2 2 0.872 0.102 0.04 0.775
EUR.IBD_pwy480_pc3 3 3 0.529 -0.231 0.221 0.407
EUR.IBD_pwy482_pc3 3 3 0.634 0.368 0.134 0.543
EUR.IBD_pwy487_pc1 2 2 0.059 0.589 0.991 0.066
EUR.IBD_pwy487_pc4 2 2 0.989 -0.008 0 0.978
EUR.IBD_pwy49_pc1 2 2 0.094 -0.33 0.979 0.003
EUR.IBD_pwy501_pc2 2 2 0.896 0.212 0.026 0.732
EUR.IBD_pwy501_pc5 3 3 0.055 0.82 0.893 0.158
EUR.IBD_pwy504_pc5 2 2 0.849 -0.111 0.056 0.781
EUR.IBD_pwy509_pc2 2 2 0.454 1.888 0.572 0.463
EUR.IBD_pwy525_pc4 2 2 0.908 -0.106 0.021 0.687
EUR.IBD_pwy531_pc4 2 2 0.003 -0.696 1 0.002
EUR.IBD_pwy538_pc3 2 2 0.047 -0.4 0.995 0.178
EUR.IBD_pwy549_pc1 2 2 0.681 -0.387 0.231 0.592
EUR.IBD_pwy553_pc4 2 2 0.938 -0.094 0.009 0.84
EUR.IBD_pwy557_pc2 2 2 1 0 0 0.999
EUR.IBD_pwy557_pc4 2 2 0.606 -0.219 0.336 0.496
EUR.IBD_pwy560_pc1 3 3 0.215 -0.712 0.616 0.245
EUR.IBD_pwy564_pc4 3 3 0.71 0.212 0.084 0.721
EUR.IBD_pwy572_pc3 2 2 0.906 0.153 0.022 0.764
EUR.IBD_pwy573_pc1 2 2 0.5 -1.632 0.5 0.466
EUR.IBD_pwy576_pc4 2 2 0.937 0.066 0.01 0.837
EUR.IBD_pwy582_pc3 2 2 0.971 -0.029 0.002 0.952
EUR.IBD_pwy592_pc2 2 2 0.509 0.259 0.485 0.492
EUR.IBD_pwy5_pc4 2 2 0.987 -0.014 0 0.973
EUR.IBD_pwy600_pc4 2 2 0.947 0.09 0.007 0.797
EUR.IBD_pwy60_pc1 2 2 0.094 -0.33 0.979 0.003
EUR.IBD_pwy611_pc4 2 2 0.863 -0.086 0.045 0.728
EUR.IBD_pwy616_pc4 2 2 0.543 0.321 0.433 0.493
EUR.IBD_pwy616_pc5 2 2 0.986 -0.016 0 0.965
EUR.IBD_pwy620_pc1 2 2 0.038 0.654 0.997 0.097
EUR.IBD_pwy623_pc1 2 2 0.949 0.074 0.006 0.818
EUR.IBD_pwy623_pc4 2 2 0.865 0.217 0.044 0.677
EUR.IBD_pwy625_pc5 2 2 0.85 -0.165 0.054 0.614
EUR.IBD_pwy62_pc1 3 3 0.588 0.513 0.17 0.521
