LVs	Heritability	SE	zscore	pval	rsq_min_l	lambda_min_l	ncoef_nzero_min_l	rsq_test_l	pval_test_l	rsq_1se_l	lambda_1se_l	ncoef_nzero_1se_l	rsq_min_e	lambda_min_e	ncoef_nzero_min_e	rsq_test_e	pval_test_e	rsq_1se_e	lambda_1se_e	ncoef_nzero_1se_e
112	0.024026	0.088211	0.272369659112809	0.392668899810419	0.999060210269658	0.00139100292135954	676	8.92519953681502e-05	0.913727126005899	0.987929235055893	0.00511663700227685	545	0.999054511734485	0.00278200584271907	799	0.000128390883165073	0.896613275457978	0.988792654211807	0.00976815590806759	676
47	0.024095	0.083263	0.289384240298812	0.386143676875183	0.999081791387809	0.00112840289785499	680	0.00384303684638369	0.47672877830874	0.975682378418699	0.00602194686808185	508	0.999075949963628	0.00225680579570998	827	0.00374915602704245	0.48217292753534	0.975328533226824	0.0120438937361637	648
44	0.024322	0.075117	0.323788223704355	0.373049186225211	0.999077569210611	0.00147505099339612	701	0.000921931344214046	0.727638704556015	0.82962135658621	0.0219040390489635	343	0.99906933614676	0.00295010198679224	875	0.000435684600731765	0.810806650037054	0.569379379298727	0.07307627857403	284
98	0.025146	0.075125	0.334722129783694	0.368917353157756	0.999085184185134	0.00105123612685084	702	0.0114338659167513	0.21879887783514	0.984751752301271	0.00444593289281387	527	0.999001284374675	0.00220258305268564	809	0.0168706719687407	0.13470309149488	0.984528340109408	0.00889186578562775	683
111	0.032286	0.077619	0.415954856414022	0.338721518622915	0.591445849969679	0.0216091639719914	152	0.00514452234182539	0.410187622972739	0	0.0601287823267921	0	0.523728293764827	0.0474320615610855	176	0.00591732036589233	0.377004748997496	0	0.120257564653584	0
35	0.03731	0.108149	0.344987008663973	0.365052068727638	0.999058608696226	0.00411851354747395	684	0.000819603515514103	0.742636522564703	0.985578228570141	0.0166265102493071	550	0.999053368227021	0.00823702709494791	834	0.00109804099725297	0.703874302368445	0.985367181250776	0.0332530204986143	676
50	0.03801	0.110304	0.344593124456049	0.365200137722064	0.644548365745858	0.018995100918819	172	0.118552232047084	4.6280005994978e-05	0.454093668956666	0.0263060563777462	83	0.588565740211112	0.0416941996140271	194	0.123112784598815	3.23089825915097e-05	0.360615720840532	0.0604911446754199	81
121	0.04433	0.117192	0.378268141170046	0.35261570493482	0.999034385630408	0.00121700942420159	714	0.0400191431262408	0.0204763159517729	0.989613940449972	0.00407893200777717	588	0.99902702203531	0.00243401884840317	898	0.0295679174791555	0.04695811146854	0.988429571084629	0.00854630685144043	768
42	0.04633	0.079343	0.583920446668263	0.279636918055765	0.999027528195111	0.00106069045382675	715	0.00869787855386483	0.283803481700455	0.994960324402375	0.00245033251806908	622	0.999023834062515	0.0021213809076535	876	0.00573166875476657	0.384617933379161	0.984853493071292	0.00856405132512396	711
10	0.048516	0.09193	0.527749374524094	0.298836649461025	0.999068070215477	0.000965568319336875	691	0.0117697252568921	0.212117322345938	0.974860571410173	0.00515294769944573	519	0.999056118391641	0.00193113663867375	815	0.012579699323851	0.196964266163409	0.972107439744739	0.0107966183660135	660
56	0.049711	0.135922	0.365731816777269	0.35728260108192	0.999053405266153	0.00102016585525824	668	0.00155211052614079	0.651301920496454	0.977306691541339	0.00519686565680876	496	0.999041886745163	0.00204033171051648	846	0.00108687055822035	0.705314388401624	0.978957368714574	0.00992132018480119	661
107	0.056739	0.143313	0.395909652299512	0.346085840079414	0.722318773360927	0.0322470614557403	265	0.0044301301652237	0.444802745052862	0.422992734310066	0.0490126660801339	136	0.692124308963837	0.0675650591214928	345	0.00402834152836546	0.466270187346357	0.41482336379651	0.0980253321602679	187
93	0.057682	0.096398	0.598373410236727	0.274795401818009	0.999029791418663	0.000936402524920116	708	0.0122048593061214	0.20381398266123	0.969129159409058	0.00548452907350907	495	0.999018815000711	0.00187280504984023	840	0.0113276502373316	0.220963437779406	0.976101932971304	0.00954032738426542	649
66	0.060205	0.115394	0.521734232282441	0.300927693311296	0.953337898771523	0.0004666412243313	443	0.00101588524879089	0.714669228703675	0.853697433819775	0.000854297952066078	345	0.982279230402739	0.000559488129338946	693	0.000148922588027574	0.888702548174489	0.911858360556755	0.00129249014342198	546
25	0.061581	0.107835	0.571066907775769	0.283977144742356	0.988112298315836	0.00500529825533019	537	0.000408970348699617	0.81659326743787	0.921138093394273	0.013294511533892	416	0.977165973759888	0.0138635386729324	695	0.000613188391670505	0.776405517726125	0.885709456020288	0.0320265724116183	534
32	0.072096	0.098144	0.734594065862406	0.231293376543099	0.999050681359981	0.00379124871990344	699	0.0162390314293491	0.142292723821077	0.988948978588315	0.0133118011521079	564	0.999048696132593	0.00758249743980689	825	0.0164922754292655	0.13919423841968	0.988832685506066	0.0266236023042157	709
78	0.077511	0.121663	0.637095912479554	0.262031185447714	0.999028884664115	0.0012044206329102	720	0.00924326980026435	0.269134139559513	0.994035905723316	0.00305364530583971	609	0.998306412311339	0.00318434638858326	858	0.0110959935544725	0.225773039556206	0.990461514579682	0.00770652669356284	744
61	0.107394	0.142757	0.752285352031774	0.225939737392462	0.99904368812163	0.000795822939860108	675	5.38087700883539e-05	0.932961398934454	0.980686715207989	0.00369388286590667	494	0.999036104177299	0.00159164587972022	822	9.40879818619794e-06	0.971940297831831	0.976466667435083	0.00810806376971453	656
