factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
hgb_pwy29_pc4 2 2 0.02 -0.099 0.999 0.049
hgb_pwy321_pc4 2 1 0.94 0.007 0.009 0.825
hgb_pwy325_pc4 2 1 0.953 0.005 0.005 0.867
hgb_pwy332_pc3 2 1 0.238 -0.13 0.866 0.386
hgb_pwy83_pc3 2 1 0.723 -0.044 0.177 0.557
hgb_pwy87_pc4 2 2 0.107 0.1 0.972 0.282
lymph_pwy119_pc1 2 2 0.247 -0.067 0.856 0.482
lymph_pwy120_pc5 2 2 0.005 0.033 1 0.018
lymph_pwy123_pc2 2 2 0.034 -0.063 0.997 0.064
lymph_pwy127_pc3 3 3 0.425 0.065 0.331 0.282
lymph_pwy135_pc3 2 2 0.878 -0.018 0.036 0.682
lymph_pwy141_pc3 3 2 0.988 -0.002 0 0.996
lymph_pwy162_pc1 2 2 0.61 0.106 0.331 0.486
lymph_pwy163_pc2 2 2 0.54 -0.196 0.438 0.514
lymph_pwy17_pc3 2 2 0.835 0.044 0.066 0.781
lymph_pwy185_pc4 2 1 0.104 -0.188 0.973 0.22
lymph_pwy203_pc1 2 2 0.915 -0.023 0.018 0.745
lymph_pwy215_pc5 2 2 0.126 -0.084 0.962 0.299
lymph_pwy235_pc1 2 2 0.133 0.115 0.957 0.297
lymph_pwy237_pc2 3 3 0.029 0.154 0.943 0.121
lymph_pwy240_pc1 2 2 0.879 -0.02 0.036 0.662
lymph_pwy253_pc1 3 2 0.953 -0.005 0.002 0.969
lymph_pwy254_pc1 2 2 0.001 -0.073 1 0
lymph_pwy258_pc1 2 2 0.036 0.067 0.997 0.066
lymph_pwy262_pc1 2 2 0.712 0.057 0.191 0.557
lymph_pwy267_pc1 2 2 0.033 0.141 0.997 0.072
lymph_pwy269_pc1 2 2 0.009 0.108 1 0.025
lymph_pwy293_pc3 2 2 0.581 0.102 0.374 0.486
lymph_pwy303_pc2 2 2 0.914 0.013 0.018 0.775
lymph_pwy308_pc5 3 3 0.794 0.016 0.043 0.812
lymph_pwy311_pc3 2 2 0.973 -0.002 0.002 0.924
lymph_pwy318_pc2 2 2 0.831 -0.037 0.069 0.59
lymph_pwy319_pc2 3 3 0.185 -0.14 0.664 0.236
lymph_pwy322_pc3 3 2 0.443 0.085 0.31 0.286
lymph_pwy325_pc3 2 2 0.019 0.082 0.999 0.055
lymph_pwy326_pc3 2 2 0.034 -0.087 0.997 0.094
lymph_pwy32_pc2 4 4 0.003 0.162 0.96 0.02
lymph_pwy330_pc3 2 2 0.068 -0.07 0.989 0.156
lymph_pwy330_pc4 2 2 0.955 -0.004 0.005 0.861
lymph_pwy43_pc4 2 2 0.929 -0.014 0.012 0.865
lymph_pwy56_pc1 2 2 0.903 -0.016 0.023 0.77
lymph_pwy57_pc5 2 2 0.001 -0.111 1 0
lymph_pwy59_pc3 2 2 0.117 -0.085 0.967 0.233
lymph_pwy65_pc5 2 2 0.975 -0.003 0.002 0.935
lymph_pwy70_pc1 2 2 0.059 0.123 0.991 0.177
lymph_pwy78_pc3 2 2 0.006 -0.064 1 0.012
lymph_pwy81_pc2 2 2 0.01 -0.122 1 0.013
lymph_pwy84_pc3 3 3 0.751 0.015 0.062 0.799
lymph_pwy86_pc2 5 5 0.4 -0.054 0.181 0.373
lymph_pwy89_pc1 2 2 0.035 0.101 0.997 0.085
lymph_pwy94_pc1 3 3 0.242 -0.056 0.574 0.249
