factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
LDL_pwy588_pc4 4 4 0.553 0.041 0.129 0.609
LDL_pwy598_pc4 2 2 0.885 0.014 0.032 0.805
LDL_pwy616_pc5 2 2 0.337 -0.177 0.745 0.419
LDL_pwy627_pc4 2 2 0.26 0.434 0.842 0.365
LDL_pwy637_pc4 2 2 0.008 -0.103 1 0.02
LDL_pwy648_pc1 3 3 0.639 0.05 0.13 0.679
LDL_pwy64_pc1 2 2 0.827 -0.038 0.072 0.718
LDL_pwy651_pc5 2 2 0.685 0.092 0.225 0.585
LDL_pwy654_pc2 2 2 0.796 -0.046 0.099 0.67
LDL_pwy658_pc3 3 3 0.033 -0.253 0.935 0.071
LDL_pwy661_pc1 2 2 0.154 -0.197 0.943 0.231
LDL_pwy669_pc4 2 1 0.278 -0.133 0.822 0.365
LDL_pwy685_pc1 2 2 0.168 -0.169 0.932 0.301
LDL_pwy690_pc4 2 2 0.08 -0.107 0.984 0.155
LDL_pwy721_pc1 2 2 0.049 0.084 0.994 0.091
LDL_pwy725_pc1 3 3 0.065 -0.362 0.874 0.06
LDL_pwy726_pc2 2 2 0.487 0.138 0.52 0.487
LDL_pwy748_pc2 2 2 0.883 0.014 0.033 0.84
LDL_pwy806_pc2 2 2 0.219 -0.192 0.887 0.327
LDL_pwy824_pc1 2 2 0.204 -0.354 0.901 0.219
LDL_pwy863_pc5 3 3 0.519 0.035 0.231 0.498
LDL_pwy88_pc2 2 2 0.12 0.46 0.965 0.074
LDL_pwy896_pc1 2 2 0.809 -0.04 0.087 0.676
LDL_pwy906_pc5 2 2 0.218 0.148 0.888 0.314
LDL_pwy912_pc5 2 1 0.739 -0.062 0.159 0.61
LDL_pwy977_pc5 2 2 0.668 0.044 0.248 0.584
LDL_pwy990_pc4 2 2 0.358 0.315 0.715 0.427
TC_pwy1005_pc5 2 2 0.23 -0.126 0.876 0.377
TC_pwy1017_pc3 2 2 0.082 0.046 0.983 0.185
TC_pwy101_pc5 2 1 0.599 -0.03 0.346 0.591
TC_pwy1020_pc2 3 3 0.782 -0.023 0.048 0.781
TC_pwy1025_pc1 3 3 0.428 0.095 0.328 0.368
TC_pwy1062_pc3 2 2 0.006 0.074 1 0.01
TC_pwy1067_pc1 2 2 0.774 -0.036 0.121 0.694
TC_pwy1071_pc3 2 2 0.181 0.093 0.921 0.301
TC_pwy1101_pc2 2 2 0.097 -0.077 0.977 0.092
TC_pwy1109_pc4 2 2 0.593 -0.199 0.356 0.537
TC_pwy1117_pc5 2 2 0.773 -0.085 0.121 0.623
TC_pwy1124_pc5 2 2 0.981 -0.002 0.001 0.957
TC_pwy1126_pc1 2 2 0.733 0.055 0.166 0.607
TC_pwy1139_pc4 2 2 0.755 0.062 0.141 0.614
TC_pwy1154_pc4 3 3 0.533 -0.046 0.218 0.507
TC_pwy1155_pc3 2 2 0.743 -0.034 0.154 0.626
TC_pwy1169_pc5 2 2 0.973 0.003 0.002 0.924
TC_pwy1193_pc2 2 2 0.964 0.007 0.003 0.969
TC_pwy11_pc1 2 2 0.139 0.154 0.953 0.256
TC_pwy1219_pc4 2 2 0.331 -0.641 0.753 0.428
TC_pwy1222_pc2 2 2 0.794 -0.037 0.101 0.673
TC_pwy1229_pc2 2 2 0.288 0.098 0.808 0.422
TC_pwy1231_pc2 2 2 0.763 0.025 0.132 0.687
TC_pwy1256_pc1 2 2 0.954 0.013 0.005 0.887
TC_pwy125_pc4 2 2 0.033 -0.104 0.997 0.084
TC_pwy147_pc4 3 3 0.89 0.011 0.012 0.919
TC_pwy161_pc4 2 2 0.626 0.244 0.307 0.531
TC_pwy183_pc4 2 2 0.834 0.044 0.066 0.688
TC_pwy189_pc5 2 2 0.138 0.071 0.954 0.225
TC_pwy198_pc5 3 3 0.534 0.107 0.217 0.463
TC_pwy202_pc2 2 2 0.174 -0.125 0.927 0.308
TC_pwy22_pc2 2 2 0.694 0.057 0.214 0.567
TC_pwy260_pc5 2 2 0.958 -0.009 0.004 0.949
TC_pwy2_pc3 4 4 0.496 0.089 0.166 0.525
TC_pwy314_pc1 2 2 0.789 -0.036 0.106 0.7
TC_pwy315_pc4 2 2 0.974 -0.003 0.002 0.943
TC_pwy321_pc2 3 3 0.726 0.022 0.075 0.755
TC_pwy331_pc3 2 2 0.906 0.014 0.022 0.827
TC_pwy333_pc3 2 2 0.9 0.015 0.024 0.823
TC_pwy334_pc1 2 2 0.042 -0.059 0.996 0.073
TC_pwy335_pc3 2 2 0.914 0.012 0.018 0.832
TC_pwy343_pc3 3 3 0.974 -0.003 0.001 0.985
TC_pwy344_pc3 3 3 0.974 -0.003 0.001 0.985
TC_pwy355_pc3 3 3 0.695 0.052 0.093 0.686
TC_pwy356_pc4 3 3 0.782 -0.038 0.048 0.826
TC_pwy356_pc5 2 2 0.145 0.172 0.949 0.256
TC_pwy394_pc1 3 3 0.885 0.022 0.013 0.915
TC_pwy40_pc2 2 2 0.036 -0.094 0.997 0.073
TC_pwy436_pc1 2 2 0.778 0.031 0.116 0.7
TC_pwy446_pc5 2 2 0.284 -0.185 0.814 0.426
TC_pwy47_pc3 2 2 0.113 -0.128 0.969 0.185
TC_pwy480_pc4 2 2 0.672 0.077 0.243 0.547
TC_pwy492_pc2 2 2 0.03 -0.062 0.998 0.059
TC_pwy501_pc1 2 2 0.922 -0.014 0.015 0.856
TC_pwy517_pc4 2 2 0.339 -0.265 0.743 0.464
TC_pwy53_pc2 2 2 0.068 0.063 0.989 0.141
TC_pwy554_pc4 3 3 0.095 0.109 0.819 0.098
TC_pwy555_pc4 3 3 0.095 0.109 0.819 0.098
TC_pwy562_pc4 2 2 0.809 -0.04 0.087 0.66
TC_pwy56_pc1 2 2 0.139 -0.235 0.953 0.102
TC_pwy573_pc2 2 2 0.641 -0.077 0.286 0.529
TC_pwy598_pc4 2 2 0.864 0.012 0.045 0.736
TC_pwy60_pc3 2 2 0.037 -0.084 0.997 0.072
TC_pwy627_pc4 3 3 0.448 0.165 0.305 0.396
TC_pwy629_pc1 2 2 0.664 -0.216 0.253 0.558
TC_pwy630_pc1 2 2 0.671 0.273 0.245 0.563
TC_pwy651_pc5 2 2 0.308 0.121 0.784 0.413
TC_pwy654_pc2 2 2 0.828 -0.037 0.071 0.682
TC_pwy681_pc5 2 2 0.17 -0.114 0.93 0.323
TC_pwy685_pc1 2 2 0.171 -0.085 0.929 0.29
TC_pwy690_pc4 2 2 0.033 -0.104 0.997 0.084
TC_pwy692_pc1 2 2 0.154 -0.353 0.942 0.276
TC_pwy710_pc2 2 2 0.966 0.006 0.003 0.969
TC_pwy725_pc1 2 2 0.114 -0.274 0.968 0.05
TC_pwy726_pc2 2 2 0.447 0.167 0.582 0.453
TC_pwy743_pc4 2 2 0.636 0.213 0.293 0.536
TC_pwy769_pc2 2 2 0.691 0.036 0.218 0.601
TC_pwy774_pc3 2 2 0.833 -0.039 0.067 0.724
TC_pwy775_pc2 2 2 0.979 -0.002 0.001 0.966
TC_pwy794_pc4 3 2 0.029 -0.07 0.943 0.087
TC_pwy824_pc1 2 2 0.177 -0.242 0.925 0.161
TC_pwy834_pc3 2 2 0.523 0.35 0.464 0.523
TC_pwy856_pc3 2 2 0.787 0.043 0.108 0.637
TC_pwy859_pc5 2 2 0.02 0.102 0.999 0.057
TC_pwy919_pc2 2 2 0.028 -0.088 0.998 0.05
TC_pwy932_pc1 2 2 0.85 -0.036 0.054 0.699
TC_pwy934_pc1 2 2 0.85 -0.036 0.054 0.699
TC_pwy945_pc4 2 2 0.121 -0.078 0.964 0.237
TC_pwy948_pc2 3 3 0.798 -0.029 0.041 0.824
TC_pwy963_pc3 2 1 0.015 0.136 0.999 0.034
TG_pwy1041_pc3 2 2 0.053 0.082 0.993 0.088
TG_pwy1057_pc4 2 2 0.738 0.072 0.16 0.729
TG_pwy1066_pc3 2 2 0.689 0.061 0.22 0.582
TG_pwy1106_pc1 2 2 0.029 0.11 0.998 0.033
TG_pwy114_pc3 2 2 0.09 0.255 0.98 0.178
TG_pwy1156_pc2 2 2 0.772 0.042 0.123 0.729
TG_pwy1158_pc5 2 2 0.246 0.212 0.858 0.327
TG_pwy1215_pc4 2 2 0.566 -0.079 0.397 0.599
TG_pwy1242_pc4 2 2 0.757 0.05 0.139 0.752
TG_pwy145_pc2 2 1 0.417 -0.08 0.628 0.504
TG_pwy156_pc1 2 1 0.004 0.06 1 0.006
TG_pwy189_pc3 2 2 0.791 0.058 0.104 0.717
TG_pwy207_pc2 3 3 0.848 -0.008 0.023 0.886
