factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
pwy223_peer1 2 2 0.892 -0.102 0.828 -0.0246200893436047 0.568919808211345 0.957
pwy227_peer1 2 2 0.904 0.039 0.853 0.00619441374829212 0.741195825545157 0.979
pwy231_peer1 2 2 0.87 -0.046 0.78 -0.0164474948402122 0.313021852569074 0.928
pwy236_peer1 2 2 0.884 0.106 0.816 0.0303898877073391 0.470806411882479 0.947
pwy24_peer1 2 2 0.867 -0.048 0.778 -0.0175100342371547 0.293316847180475 0.925
pwy241_peer1 2 2 0.898 -0.035 0.841 -0.00702234489485151 0.650724261963007 0.969
pwy244_peer1 2 2 0.883 -0.041 0.809 -0.0120686743621283 0.452311023867674 0.946
pwy244_peer2 2 2 0.972 0.007 0.956 0.0456396858288034 0.000778908570843043 0.782
pwy245_peer1 2 2 0.899 -0.036 0.843 -0.00680111294055345 0.673892768892384 0.972
pwy257_peer1 2 2 0.873 0.045 0.785 0.0155002839513991 0.347917022247881 0.931
pwy259_peer1 2 2 0.882 -0.096 0.805 -0.0286180941352335 0.445960384265512 0.945
pwy267_peer1 2 2 0.882 -0.042 0.806 -0.0122939534077446 0.447776281606847 0.945
pwy268_peer1 2 2 0.878 -0.058 0.793 -0.0185946497605716 0.394745553562789 0.943
pwy279_peer1 2 2 0.859 0.229 0.762 0.0916646497900716 0.220643450916973 0.901
pwy28_peer1 2 2 0.849 0.053 0.741 0.0231837767403942 0.158943077666572 0.881
pwy288_peer1 2 2 0.876 0.236 0.789 0.0777755926374602 0.373302217058538 0.936
pwy289_peer1 2 2 0.863 0.24 0.771 0.0921022733995222 0.257056217673041 0.914
pwy292_peer1 2 2 0.858 -0.242 0.76 -0.0973723824386979 0.217431338049286 0.9
pwy293_peer1 2 2 0.872 -0.236 0.785 -0.0815661687858112 0.336462559679864 0.931
pwy294_peer1 2 2 0.883 0.355 0.812 0.10348211955061 0.457617065335688 0.946
pwy299_peer1 2 2 0.865 -0.158 0.774 -0.0592677677036872 0.274795805777231 0.918
pwy304_peer1 2 2 0.877 -0.092 0.79 -0.0297786123225303 0.386251350153798 0.94
pwy307_peer1 3 3 0.209 0.11 0.15 0.0625787026507191 2.62195413059666e-07 0.573
pwy312_peer1 2 2 0.856 -0.093 0.754 -0.0382761475865332 0.199287260183926 0.897
pwy315_peer1 2 2 0.887 0.134 0.82 0.0362955587257072 0.503190297181029 0.951
pwy316_peer1 2 2 0.878 0.1 0.795 0.0315919905875313 0.402994053925314 0.944
pwy317_peer1 2 2 0.878 0.045 0.793 0.0143631185138364 0.394093675929692 0.943
pwy318_peer1 2 2 0.865 -0.055 0.774 -0.0205713100014424 0.273325634892069 0.917
pwy319_peer1 2 2 0.846 0.096 0.73 0.0431252764725199 0.137469594431731 0.877
pwy320_peer1 2 2 0.278 -0.125 0.181 -0.199345774847049 9.53443216169962e-48 0.072
pwy321_peer1 2 2 0.225 -0.131 0.138 -0.178731575956054 1.2967551175977e-30 0.067
pwy321_peer4 2 2 0.233 0.138 0.333 0.13195272590279 4.07183112806999e-29 0.318
pwy322_peer4 2 2 0.029 0.104 0.061 0.104356317544763 1.10692055146736e-16 0.664
pwy323_peer2 3 3 0.959 0.009 0.973 0.0648922411963607 4.24909900752765e-08 0.7
pwy324_peer1 2 2 0.864 -0.119 0.772 -0.0454792384342321 0.261473767881166 0.914
pwy326_peer5 2 2 0.066 -0.152 0.124 -0.148946778040839 1.87085185699422e-26 0.515
pwy327_peer1 2 2 0.79 -0.08 0.643 -0.0472540783488483 0.00919146607636678 0.751
pwy328_peer1 2 2 0.887 -0.039 0.82 -0.0106329903087258 0.503617789175563 0.951
pwy329_peer1 2 2 0.847 -0.049 0.734 -0.0218226798396291 0.144649217812536 0.878
pwy330_peer1 2 2 0.896 -0.04 0.839 -0.0086435664954841 0.626308621661586 0.967
pwy331_peer1 2 2 0.856 -0.06 0.756 -0.0246554123864922 0.202371831187853 0.898
pwy36_peer1 2 2 0.077 -0.156 0.149 -0.157466824439659 4.31045707616587e-28 0.411
pwy39_peer1 2 2 0.86 -0.051 0.763 -0.0203888987486919 0.229111747604047 0.902
pwy41_peer1 2 2 0.847 0.055 0.734 0.0242574075300866 0.14536349357949 0.878
pwy43_peer1 2 2 0.902 0.02 0.841 0.00682503842501152 0.627417131101984 0.941
pwy44_peer1 2 2 0.855 -0.049 0.754 -0.020268470925032 0.191002274791872 0.893
pwy45_peer1 2 2 0.886 -0.023 0.822 -0.0100064000425874 0.471688449253031 0.906
pwy46_peer1 2 2 0.828 -0.057 0.692 -0.0286771913857642 0.0666391839778912 0.838
pwy47_peer1 2 2 0.879 -0.043 0.797 -0.013261395348482 0.41364232654835 0.944
pwy50_peer1 2 2 0.832 0.061 0.761 0.00772294960408871 0.626868200203885 0.977
pwy53_peer1 2 2 0.849 -0.055 0.739 -0.0238019516203427 0.156229820266639 0.88
pwy56_peer1 2 2 0.857 -0.103 0.756 -0.0422625922349947 0.205214536097339 0.898
pwy57_peer1 2 2 0.842 0.057 0.721 0.02621430794253 0.121356248249221 0.871
pwy6_peer1 2 2 0.859 0.051 0.761 0.0204732722973366 0.218990980952468 0.9
pwy61_peer3 2 2 0.727 -0.088 0.631 -0.00230856421651618 0.877999065902882 0.982
pwy67_peer1 2 2 0.863 0.049 0.77 0.0187783734469609 0.253841133073045 0.913
pwy8_peer1 2 2 0.848 -0.055 0.738 -0.0240151994757304 0.150200240885759 0.878
pwy82_peer4 2 2 0.002 -0.341 0.003 -0.341098165831169 1.34161156179732e-48 0.18
pwy83_peer1 2 2 0.831 0.075 0.696 0.0369373812412824 0.0742272929524352 0.842
pwy87_peer1 2 2 0.879 -0.042 0.796 -0.0130283956886298 0.409960564119971 0.944
pwy9_peer1 2 2 0.86 -0.049 0.763 -0.0194840784994954 0.230866638384376 0.902
pwy91_peer1 2 2 0.859 0.053 0.761 0.0214803609546783 0.219283933703521 0.9
pwy92_peer1 2 2 0.85 -0.056 0.743 -0.0240996004422017 0.164256494745636 0.882
pwy93_peer1 2 2 0.841 -0.057 0.717 -0.0263519188720247 0.114395887648281 0.865
pwy96_peer5 2 2 0.133 0.229 0.191 0.252764396195185 4.33416961028364e-31 0.018
pwy97_peer1 2 2 0.87 -0.051 0.78 -0.0183462075287083 0.313746103323014 0.928
pwy97_peer4 2 2 0.68 0.092 0.597 0.0174671361894229 0.218108815198746 0.909
pwy98_peer1 2 2 0.835 -0.055 0.705 -0.0263934224429551 0.0893184675644931 0.855
pwy99_peer1 2 2 0.866 0.053 0.774 0.0196404283414523 0.282344130436548 0.92
pwy99_peer4 2 2 0.682 -0.096 0.597 -0.0178249048606326 0.231852006180219 0.912
pwy127_peer3 5 5 0.244 -0.035 0.24 -0.0423629145257184 0.0821064631777245 0.162
