factors	hsq	SE	zscore	pval	qvalues
pwy168_pc1	0.436455	0.605036	0.721370298626859	0.470681715568231	0.978709597832949
pwy168_pc2	0.201962	0.784613	0.25740333132385	0.796867431485102	0.999999225989033
pwy168_pc3	0.011445	0.700758	0.0163323144366529	0.986969277783628	0.999999225989033
pwy168_pc4	0.999999	0.68943	1.45047212915017	0.146926905810073	0.726367484530263
pwy168_pc5	1e-06	0.706344	1.41574077220165e-06	0.999998870402296	0.999999225989033
pwy169_pc1	0.731546	0.599966	1.21931242770424	0.222725633475677	0.743132396331502
pwy169_pc2	0.990505	0.606205	1.63394396285085	0.102270617505512	0.726367484530263
pwy169_pc3	1e-06	0.757566	1.32001700181898e-06	0.999998946778814	0.999999225989033
pwy169_pc4	0.999999	0.724966	1.37937365338512	0.167779578163731	0.726367484530263
pwy169_pc5	0.705933	0.546893	1.29080642831413	0.196770808183183	0.728372235995181
pwy17_pc1	1e-06	0.585731	1.70726835356162e-06	0.99999863779694	0.999999225989033
pwy17_pc2	1e-06	0.561697	1.78031928246012e-06	0.999998579510731	0.999999225989033
pwy17_pc3	1e-06	0.711402	1.40567499107396e-06	0.999998878433627	0.999999225989033
pwy17_pc4	0.430005	0.584119	0.736159926316384	0.461633376771018	0.969787946549967
pwy17_pc5	0.283132	0.709632	0.398984262265512	0.689904800408367	0.999999225989033
pwy170_pc1	0.779031	0.582092	1.33832967984442	0.180788990821569	0.726367484530263
pwy170_pc2	0.999999	0.592446	1.68791586068604	0.091427381550137	0.726367484530263
pwy170_pc3	0.197887	0.692195	0.285883313228209	0.774967494723052	0.999999225989033
pwy170_pc4	0.999999	0.750784	1.33193967905549	0.1828800109874	0.726367484530263
pwy170_pc5	0.126719	0.810687	0.156310635300677	0.875788173625433	0.999999225989033
pwy171_pc1	0.555025	0.615777	0.901340907503853	0.367407089904539	0.879178627117306
pwy171_pc2	0.180303	0.777575	0.231878596919911	0.816632308689864	0.999999225989033
pwy171_pc3	1e-06	0.731206	1.36760365751922e-06	0.999998908810156	0.999999225989033
pwy171_pc4	0.999999	0.608031	1.64465134179014	0.100041732561462	0.726367484530263
pwy171_pc5	0.92324	0.519281	1.77791985456814	0.0754170188214542	0.726367484530263
pwy172_pc1	0.683483	0.69058	0.989723131280952	0.32230946565515	0.833187903267526
pwy172_pc2	0.045656	0.696406	0.0655594581321815	0.947728567361263	0.999999225989033
pwy172_pc3	0.974402	0.609726	1.59809816212528	0.110021132603577	0.726367484530263
pwy172_pc4	0.999999	0.843179	1.18598660545388	0.2356275892487	0.748301679918723
pwy172_pc5	0.999999	0.73312	1.3640318092536	0.172557554552394	0.726367484530263
pwy173_pc1	0.862106	0.583033	1.47865729727134	0.13923193072282	0.726367484530263
pwy173_pc2	0.782556	0.65677	1.19152214626125	0.233448667900387	0.746740711953242
pwy173_pc3	1e-06	0.801717	1.24732293315472e-06	0.999999004780289	0.999999225989033
pwy173_pc4	0.761039	0.753896	1.0094747816675	0.312746990040946	0.817566890364273
pwy173_pc5	0.056879	0.780295	0.0728942259017423	0.941890288784377	0.999999225989033
pwy174_pc1	0.999999	0.602337	1.66019852673835	0.0968745209465905	0.726367484530263
pwy174_pc2	0.999999	0.510576	1.95857032057911	0.0501631282156674	0.726367484530263
pwy174_pc3	0.999999	0.684028	1.46192699714047	0.143761216000297	0.726367484530263
pwy174_pc4	1e-06	0.646446	1.54691961896276e-06	0.999998765736719	0.999999225989033
pwy174_pc5	0.82358	0.638135	1.29060465262053	0.196840801859882	0.728372235995181
pwy175_pc1	0.999999	0.839559	1.19110032767203	0.233614201262298	0.746740711953242
pwy175_pc2	0.496144	0.707277	0.701484708254333	0.483000574458771	0.992868437509434
pwy175_pc3	0.02653	0.789738	0.033593419589788	0.973201369714905	0.999999225989033
pwy175_pc4	0.059197	0.721751	0.0820185908990774	0.934631929863226	0.999999225989033
pwy175_pc5	0.953884	0.524973	1.81701535126568	0.0692147627985947	0.726367484530263
pwy176_pc1	0.321927	0.757157	0.425178661757073	0.670706438169858	0.999999225989033
pwy176_pc2	0.711384	0.706248	1.00727223298331	0.313803969494512	0.818761974684589
pwy176_pc3	0.999999	0.729811	1.37021639849221	0.170619360835162	0.726367484530263
pwy176_pc4	0.558242	0.741554	0.752800200659696	0.451569986184707	0.959442539823524
pwy176_pc5	0.999999	0.594098	1.68322229665813	0.0923320660566704	0.726367484530263
pwy177_pc1	0.65067	0.687837	0.945965395871405	0.344166236301786	0.859788676046066
pwy177_pc2	0.137138	0.789104	0.173789513169367	0.862030886258108	0.999999225989033
pwy177_pc3	1e-06	0.782248	1.2783669629069e-06	0.999998980010737	0.999999225989033
pwy177_pc4	0.999999	0.733613	1.36311515744677	0.172846220476156	0.726367484530263
pwy177_pc5	0.717185	0.665307	1.0779760321175	0.281044452395187	0.791458675356946
pwy178_pc1	0.537147	0.811578	0.661855052749089	0.508064119912637	0.999999225989033
pwy178_pc2	1e-06	0.749316	1.33455044333766e-06	0.999998935182806	0.999999225989033
pwy178_pc3	1e-06	0.645868	1.54830398781175e-06	0.999998764632153	0.999999225989033
pwy178_pc4	0.014593	0.779792	0.0187139647495742	0.985069287946933	0.999999225989033
pwy178_pc5	0.202626	0.789	0.256813688212928	0.797322602724312	0.999999225989033
pwy179_pc1	0.999999	0.613319	1.63047125557826	0.103001935520621	0.726367484530263
pwy179_pc2	0.095391	0.811191	0.117593760285802	0.906389549212802	0.999999225989033
pwy179_pc3	0.108308	0.61063	0.177370912008909	0.859217053892731	0.999999225989033
pwy179_pc4	0.190804	0.695689	0.274266231031395	0.783880033569204	0.999999225989033
pwy179_pc5	0.999999	0.541554	1.84653607950454	0.0648144056738849	0.726367484530263
pwy18_pc1	0.250366	0.781277	0.320457404992083	0.748621615030747	0.999999225989033
pwy18_pc2	0.398313	0.713766	0.558044232983919	0.576814179847223	0.999999225989033
pwy18_pc3	0.075739	0.708695	0.106871079942712	0.914891256625265	0.999999225989033
pwy18_pc4	0.925808	0.533228	1.73623290599893	0.082522661121673	0.726367484530263
pwy18_pc5	1e-06	0.64718	1.54516517815755e-06	0.99999876713656	0.999999225989033
pwy180_pc1	0.575562	0.632971	0.909302321907323	0.363190565318794	0.878791457155296
pwy180_pc2	0.331403	0.776729	0.426664898568226	0.669623420605987	0.999999225989033
pwy180_pc3	1e-06	0.730168	1.36954783008842e-06	0.999998907258931	0.999999225989033
pwy180_pc4	0.999999	0.724015	1.38118547267667	0.167221940341243	0.726367484530263
pwy180_pc5	0.418447	0.636193	0.657735938622399	0.510707824860155	0.999999225989033
pwy181_pc1	0.678214	0.624898	1.08531952414634	0.277780161504611	0.789633815745626
