factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.CD_pwy265_pc1 2 2 0.019 0.442 0.999 0.019
EUR.CD_pwy265_pc2 3 3 0.224 -0.377 0.602 0.264
EUR.CD_pwy297_pc4 2 2 0.062 0.741 0.99 0.168
EUR.CD_pwy321_pc2 2 2 0.021 0.675 0.999 0.04
EUR.CD_pwy323_pc1 2 2 0.033 0.35 0.997 0.031
EUR.CD_pwy325_pc2 2 2 0.022 -0.686 0.999 0.044
EUR.CD_pwy35_pc4 2 2 0.212 -1.55 0.893 0.406
EUR.CD_pwy57_pc4 2 2 0.302 2.094 0.792 0.489
EUR.CD_pwy60_pc1 2 2 0.227 -1.817 0.878 0.264
EUR.CD_pwy67_pc1 2 2 0.472 -3.067 0.544 0.46
EUR.CD_pwy8_pc5 2 0 0.035 0.937 0.997 0.029
EUR.CD_pwy82_pc4 3 3 0.418 0.605 0.339 0.345
EUR.IBD_pwy101_pc5 2 2 0.917 -0.037 0.017 0.835
EUR.IBD_pwy103_pc1 2 2 0.577 -0.581 0.381 0.514
EUR.IBD_pwy104_pc4 2 2 0.994 0.005 0 0.984
EUR.IBD_pwy131_pc4 2 2 0.539 0.321 0.44 0.559
EUR.IBD_pwy140_pc2 2 0 0.137 -0.672 0.954 0.158
EUR.IBD_pwy144_pc5 3 3 0.729 -0.151 0.073 0.746
EUR.IBD_pwy145_pc4 3 0 0.361 0.356 0.408 0.367
EUR.IBD_pwy151_pc2 2 2 0.471 -0.633 0.546 0.508
EUR.IBD_pwy154_pc3 2 2 0.018 0.392 0.999 0.036
EUR.IBD_pwy157_pc3 3 3 0.165 1.474 0.697 0.156
EUR.IBD_pwy159_pc3 2 2 0.028 0.496 0.998 0.029
EUR.IBD_pwy159_pc4 2 0 0.259 0.91 0.843 0.212
EUR.IBD_pwy16_pc4 2 2 0.052 0.429 0.993 0.108
EUR.IBD_pwy170_pc3 2 0 0.568 -0.599 0.394 0.512
EUR.IBD_pwy171_pc2 2 2 0.061 -0.7 0.991 0.106
EUR.IBD_pwy172_pc2 2 2 0.018 -0.266 0.999 0.028
EUR.IBD_pwy173_pc3 2 0 0.241 -0.634 0.863 0.166
EUR.IBD_pwy175_pc3 2 2 0.021 -0.577 0.999 0.042
EUR.IBD_pwy182_pc1 2 2 0.005 0.443 1 0.007
EUR.IBD_pwy193_pc5 4 0 0.124 0.327 0.6 0.116
EUR.IBD_pwy2_pc1 2 2 0.946 -0.056 0.007 0.876
EUR.IBD_pwy202_pc3 2 2 0.532 0.348 0.45 0.557
EUR.IBD_pwy205_pc3 2 2 0.907 0.119 0.021 0.797
EUR.IBD_pwy211_pc5 2 2 0.542 -0.159 0.434 0.559
EUR.IBD_pwy218_pc1 3 3 0.725 -0.345 0.076 0.763
EUR.IBD_pwy221_pc2 3 3 0.417 -0.438 0.34 0.442
EUR.IBD_pwy226_pc3 2 2 0.573 -0.324 0.386 0.589
EUR.IBD_pwy229_pc5 2 0 0.421 -0.45 0.622 0.452
EUR.IBD_pwy234_pc4 3 0 0.533 -0.423 0.218 0.562
EUR.IBD_pwy236_pc3 2 2 0.516 -0.416 0.476 0.545
EUR.IBD_pwy238_pc3 2 0 0.078 -0.675 0.985 0.097
EUR.IBD_pwy238_pc5 6 0 0.035 -0.33 0.621 0.06
EUR.IBD_pwy255_pc4 2 2 0.087 -0.396 0.981 0.19
EUR.IBD_pwy26_pc3 2 2 0.356 -0.613 0.719 0.246
EUR.IBD_pwy265_pc1 2 2 0.049 0.38 0.994 0.041
EUR.IBD_pwy266_pc4 2 2 0.051 -0.43 0.994 0.104
EUR.IBD_pwy267_pc5 2 2 0.91 0.071 0.02 0.787
