factors	hsq	SE	zscore	pval	qvalues
pwy234_pc1	1e-06	0.679827	1.47096246545077e-06	0.999998826341759	0.99999930179044
pwy234_pc2	0.347709	0.718985	0.483610923732762	0.62866202076933	0.99999930179044
pwy234_pc3	0.464355	0.949462	0.489071705871325	0.62479093205189	0.99999930179044
pwy234_pc4	1e-06	0.645238	1.54981572691007e-06	0.999998763425959	0.99999930179044
pwy234_pc5	1e-06	0.677646	1.47569675022062e-06	0.999998822564347	0.99999930179044
pwy235_pc1	1e-06	0.630392	1.58631454713892e-06	0.999998734304114	0.99999930179044
pwy235_pc2	0.999999	0.92811	1.07745741345315	0.281275966510334	0.99999930179044
pwy235_pc3	0.232589	0.610679	0.38086949117294	0.703300091804614	0.99999930179044
pwy235_pc4	1e-06	0.639702	1.56322787798068e-06	0.999998752724611	0.99999930179044
pwy235_pc5	1e-06	0.814601	1.22759485932377e-06	0.999999020521015	0.99999930179044
pwy236_pc1	1e-06	0.589449	1.69649961234984e-06	0.999998646389152	0.99999930179044
pwy236_pc2	0.552553	0.798809	0.69172104971276	0.489112525233879	0.99999930179044
pwy236_pc3	0.166646	0.696082	0.239405702201752	0.810791008837257	0.99999930179044
pwy236_pc4	0.319044	0.753433	0.423453711212543	0.671964264143382	0.99999930179044
pwy236_pc5	1e-06	0.720522	1.38788267395027e-06	0.999998892629842	0.99999930179044
pwy237_pc1	1e-06	0.607435	1.64626667873929e-06	0.999998686469234	0.99999930179044
pwy237_pc2	0.905766	0.677562	1.33680165062385	0.181287390270934	0.99999930179044
pwy237_pc3	1e-06	0.830234	1.2044797009036e-06	0.999999038964243	0.99999930179044
pwy237_pc4	0.093725	0.571416	0.164022358491887	0.869713542647403	0.99999930179044
pwy237_pc5	1e-06	0.632238	1.58168284728219e-06	0.999998737999676	0.99999930179044
pwy238_pc1	1e-06	0.592355	1.68817685340716e-06	0.999998653029753	0.99999930179044
pwy238_pc2	1e-06	1.046868	9.55230267808358e-07	0.999999237836517	0.99999930179044
pwy238_pc3	1e-06	0.583825	1.71284203314349e-06	0.999998633349787	0.99999930179044
pwy238_pc4	0.999999	0.760471	1.31497322054358	0.188518902694162	0.99999930179044
pwy238_pc5	0.999999	0.661348	1.51206172846973	0.130518159800749	0.99999930179044
pwy239_pc1	1e-06	0.829234	1.20593222178541e-06	0.999999037805299	0.99999930179044
pwy239_pc2	1e-06	0.736859	1.35711174050938e-06	0.999998917181495	0.99999930179044
pwy24_pc1	1e-06	0.716998	1.39470402985782e-06	0.999998887187188	0.99999930179044
pwy24_pc2	1e-06	0.866822	1.15363938617156e-06	0.999999079528945	0.99999930179044
pwy24_pc3	0.628445	0.609384	1.03127912777493	0.302409943329543	0.99999930179044
