factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
HDL_pwy737_pc3 2 2 0.167 -0.116 0.933 0.284
HDL_pwy740_pc1 3 3 0.015 -0.042 0.97 0.048
HDL_pwy740_pc5 2 2 0.101 0.047 0.975 0.177
HDL_pwy758_pc5 6 6 0 0.085 0.979 0.001
HDL_pwy767_pc2 2 2 0.09 -0.075 0.98 0.173
HDL_pwy783_pc5 5 5 0.719 0.018 0.036 0.717
HDL_pwy792_pc3 2 2 0.018 0.088 0.999 0.033
HDL_pwy800_pc4 3 3 0.01 0.088 0.98 0.035
HDL_pwy800_pc5 2 2 0.081 0.081 0.984 0.138
HDL_pwy814_pc3 2 2 0.104 -0.089 0.974 0.203
HDL_pwy835_pc3 2 2 0.686 0.067 0.224 0.547
HDL_pwy851_pc1 2 2 0.031 -0.067 0.998 0.062
HDL_pwy863_pc1 2 2 0.986 0.002 0 0.98
HDL_pwy880_pc1 2 2 0.083 -0.065 0.983 0.126
HDL_pwy915_pc5 2 2 0.106 -0.074 0.972 0.171
HDL_pwy916_pc5 2 2 0.106 -0.074 0.972 0.171
HDL_pwy923_pc2 3 3 0.238 -0.062 0.581 0.255
HDL_pwy925_pc2 3 3 0.238 -0.062 0.581 0.255
HDL_pwy928_pc2 3 3 0.238 -0.062 0.581 0.255
HDL_pwy929_pc2 3 3 0.238 -0.062 0.581 0.255
HDL_pwy930_pc2 3 3 0.238 -0.062 0.581 0.255
HDL_pwy933_pc1 2 2 0.441 -0.12 0.593 0.47
HDL_pwy937_pc1 2 2 0.422 -0.137 0.621 0.46
HDL_pwy939_pc1 2 2 0.047 0.081 0.994 0.055
HDL_pwy947_pc1 3 3 0.012 -0.042 0.975 0.037
HDL_pwy954_pc1 3 3 0.014 -0.04 0.973 0.047
HDL_pwy963_pc3 2 2 0.037 0.105 0.997 0.056
HDL_pwy964_pc1 2 2 0.16 0.135 0.938 0.29
HDL_pwy964_pc3 2 2 0.118 -0.098 0.966 0.215
HDL_pwy96_pc3 2 2 0.714 0.068 0.189 0.567
HDL_pwy980_pc1 2 2 0.108 -0.132 0.972 0.161
HDL_pwy985_pc1 3 3 0.013 -0.042 0.973 0.043
HDL_pwy986_pc1 3 3 0.014 -0.043 0.972 0.045
HDL_pwy992_pc1 3 3 0.013 -0.042 0.975 0.04
HDL_pwy9_pc4 2 2 0.368 -0.171 0.701 0.481
LDL_pwy1017_pc3 2 2 0.061 0.045 0.991 0.125
LDL_pwy101_pc2 2 1 0.51 0.176 0.485 0.523
LDL_pwy1025_pc1 3 3 0.406 0.103 0.353 0.344
LDL_pwy104_pc5 2 2 0.001 -0.093 1 0.002
LDL_pwy1071_pc3 2 2 0.75 -0.042 0.146 0.6
LDL_pwy1098_pc4 2 2 0.279 -0.135 0.82 0.359
LDL_pwy109_pc5 2 2 0.923 0.011 0.015 0.878
LDL_pwy1109_pc4 2 2 0.527 -0.278 0.457 0.529
LDL_pwy1113_pc4 2 2 0.209 -0.186 0.896 0.318
LDL_pwy1139_pc4 2 2 0.725 0.072 0.175 0.628
